GENEID	X101	X109	X112	X118	X120	X125	X126	X127	X128	X143	X144	X150	X151	X152	X158	X159	X160	X164	X167	X168	X173	X183	X184	X192
1110004F10Rik	0	0	0	2.00048844025395	3.00109916954915	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	5.00305424361532	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	0
1700017B05Rik	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	3.00109916954915	0	0	0	0	0	0	0	0	6.00439882750478	0
1810026J23Rik	0	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	0	5.00305424361532	0	0	0	0	1.00012209018435	0	3.00109916954915	1.00012209018435
2310022B05Rik	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	9.00990220315199	0	0	0	1.00012209018435	0
2410002F23Rik	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	3.00109916954915	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	2.00048844025395	4.00195439749781	3.00109916954915	6.00439882750478	0
2410006H16Rik	1.00012209018435	0	5.00305424361532	1.00012209018435	2.00048844025395	1.00012209018435	3.00109916954915	15.0275330602518	0	6.00439882750478	3.00109916954915	1.00012209018435	2.00048844025395	0	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0
2500004C02Rik	0	0	0	0	0	0	0	1.00012209018435	0	3.00109916954915	2.00048844025395	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0	0	6.00439882750478	0	0
2610203C20Rik	0	0	0	0	0	0	0	0	0	6.00439882750478	0	3.00109916954915	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	3.00109916954915	4.00195439749781	6.00439882750478	0
2700081O15Rik	0	0	2.00048844025395	0	0	0	1.00012209018435	0	3.00109916954915	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	6.00439882750478	0	3.00109916954915	0
2810403D21Rik	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	3.00109916954915	0	1.00012209018435	1.00012209018435	0	0	0	0	7.00598826885697	0	1.00012209018435	2.00048844025395	1.00012209018435	0
2810474O19Rik	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	0	1.00012209018435	5.00305424361532	0	0	0	6.00439882750478	0	0	0	3.00109916954915
4930402H24Rik	0	0	0	1.00012209018435	0	0	0	6.00439882750478	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0
5830462I19Rik	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	0	2.00048844025395	0	1.00012209018435	5.00305424361532	4.00195439749781	0
9930021J03Rik	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	9.00990220315199	0	2.00048844025395	0	0	2.00048844025395	0	0	3.00109916954915	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435
9930111J21Rik1	9.00990220315199	0	4.00195439749781	0	8.00782268745052	6.00439882750478	0	4.00195439749781	1.00012209018435	6.00439882750478	3.00109916954915	1.00012209018435	4.00195439749781	3.00109916954915	5.00305424361532	0	0	0	6.00439882750478	2.00048844025395	3.00109916954915	9.00990220315199	31.1179048445245	0
A430073D23Rik	13.0206736374495	1.00012209018435	17.0353762377124	0	44.2380343327527	38.1773673823587	0	14.0239804397716	25.0766058142306	8.00782268745052	10.0122269359159	2.00048844025395	10.0122269359159	16.0313316193744	16.0313316193744	0	1.00012209018435	3.00109916954915	16.0313316193744	3.00109916954915	3.00109916954915	26.0828704059517	70.6050478883099	3.00109916954915
AI506816	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	9.00990220315199	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	3.00109916954915	4.00195439749781	0	0
AI838599	0	0	1.00012209018435	0	6.00439882750478	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	3.00109916954915	0	0	0	7.00598826885697	0
AW551984	11.0147970057849	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aak1	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	3.00109916954915	1.00012209018435	7.00598826885697	0	1.00012209018435	0
Aamp	0	0	0	0	0	0	1.00012209018435	0	0	5.00305424361532	1.00012209018435	0	2.00048844025395	1.00012209018435	4.00195439749781	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	0
Abca8a	0	0	8.00782268745052	0	0	0	3.00109916954915	2.00048844025395	1.00012209018435	1.00012209018435	10.0122269359159	0	2.00048844025395	0	5.00305424361532	0	3.00109916954915	0	0	0	0	0	2.00048844025395	0
Abcb1b	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	5.00305424361532	1.00012209018435	0
Abcc9	0	0	4.00195439749781	0	2.00048844025395	0	0	1.00012209018435	12.0176125328898	14.0239804397716	0	2.00048844025395	4.00195439749781	1.00012209018435	4.00195439749781	0	0	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435
Abhd2	0	0	0	0	0	0	0	0	1.00012209018435	0	0	3.00109916954915	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	6.00439882750478	0
Abhd4	0	0	0	1.00012209018435	0	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915	1.00012209018435	1.00012209018435	0	1.00012209018435	0
Abi1	0	0	0	1.00012209018435	1.00012209018435	0	4.00195439749781	0	0	0	0	5.00305424361532	1.00012209018435	0	3.00109916954915	2.00048844025395	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	0
Abi3bp	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	2.00048844025395	0	2.00048844025395	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	4.00195439749781	0	0	5.00305424361532	3.00109916954915	0
Abl1	0	0	5.00305424361532	0	0	0	0	2.00048844025395	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435
Ablim1	0	0	0	0	0	0	0	0	5.00305424361532	2.00048844025395	0	0	0	0	2.00048844025395	0	0	0	3.00109916954915	0	4.00195439749781	0	2.00048844025395	1.00012209018435
Abtb2	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	5.00305424361532	0
Acadl	5.00305424361532	0	5.00305424361532	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395
Acat2	5.00305424361532	0	1.00012209018435	0	0	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	4.00195439749781	0
Acbd3	2.00048844025395	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	4.00195439749781	5.00305424361532	0	0	2.00048844025395	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435
Acin1	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	4.00195439749781	1.00012209018435	0	0	0	4.00195439749781	2.00048844025395	1.00012209018435	0	0	0	5.00305424361532	2.00048844025395	3.00109916954915	0
Acly	1.00012209018435	0	2.00048844025395	0	2.00048844025395	4.00195439749781	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	0	0	2.00048844025395	0	3.00109916954915	0	0	2.00048844025395	3.00109916954915	0	3.00109916954915	5.00305424361532	3.00109916954915	0
Aco2	0	0	3.00109916954915	0	0	1.00012209018435	1.00012209018435	4.00195439749781	5.00305424361532	1.00012209018435	2.00048844025395	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	3.00109916954915	3.00109916954915	1.00012209018435	2.00048844025395	1.00012209018435	0
Acsl4	0	0	0	0	0	0	2.00048844025395	0	0	7.00598826885697	0	0	3.00109916954915	0	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435	2.00048844025395	0
Acsl5	7.00598826885697	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0
