GENEID	X1	X4	X6	X7	X8	X10	X13	X14	X15	X19	X22	X23	X24	X25	X29	X30	X31	X32	X34	X40	X43	X45	X47	X48	X49	X50	X51	X53	X55	X56	X57	X58	X59	X61	X62	X63	X64	X65	X67	X68	X69	X70	X71	X73	X74	X75	X76	X77	X79	X83	X85	X87	X88	X89	X90	X91	X95	X96
1700020I14Rik	0	0	0	0	6.00439882750478	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0
1810011O10Rik	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	3.00109916954915	0	0	5.00305424361532	2.00048844025395	0	2.00048844025395	0	0	0	0	0	0	0	0	0
4930453N24Rik	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	8.00782268745052	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933427J07Rik	0	0	0	0	0	3.00109916954915	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	5.00305424361532	0	1.00012209018435	0	4.00195439749781	0	0	0	2.00048844025395	0	0	1.00012209018435	0	2.00048844025395	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0
5330406M23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	5.00305424361532	1.00012209018435	0	0	0	2.00048844025395	0	0
8430408G22Rik	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	1.00012209018435	0	5.00305424361532	0	0	1.00012209018435	2.00048844025395	0	2.00048844025395	0	4.00195439749781	0	0	7.00598826885697	0	0	2.00048844025395	0	0	0	0	0	0	0	0	16.0313316193744	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
9930111J21Rik1	0	4.00195439749781	1.00012209018435	0	3.00109916954915	10.0122269359159	10.0122269359159	0	4.00195439749781	1.00012209018435	1.00012209018435	2.00048844025395	4.00195439749781	3.00109916954915	1.00012209018435	1.00012209018435	2.00048844025395	12.0176125328898	14.0239804397716	2.00048844025395	2.00048844025395	3.00109916954915	4.00195439749781	4.00195439749781	13.0206736374495	2.00048844025395	5.00305424361532	7.00598826885697	11.0147970057849	13.0206736374495	4.00195439749781	0	11.0147970057849	2.00048844025395	0	2.00048844025395	2.00048844025395	12.0176125328898	11.0147970057849	1.00012209018435	0	1.00012209018435	6.00439882750478	3.00109916954915	4.00195439749781	4.00195439749781	0	0	1.00012209018435	0	2.00048844025395	0	0	1.00012209018435	2.00048844025395	12.0176125328898	5.00305424361532	0
A430073D23Rik	2.00048844025395	8.00782268745052	7.00598826885697	7.00598826885697	4.00195439749781	12.0176125328898	27.0893822675098	0	11.0147970057849	0	3.00109916954915	5.00305424361532	8.00782268745052	12.0176125328898	11.0147970057849	0	3.00109916954915	15.0275330602518	32.1256548803621	3.00109916954915	1.00012209018435	17.0353762377124	11.0147970057849	11.0147970057849	34.1418990756402	6.00439882750478	11.0147970057849	23.0648179545339	27.0893822675098	29.1031482864402	14.0239804397716	2.00048844025395	46.2602511104364	11.0147970057849	0	11.0147970057849	1.00012209018435	33.1336529167031	43.22730021288	3.00109916954915	1.00012209018435	2.00048844025395	19.0442041347699	5.00305424361532	11.0147970057849	13.0206736374495	4.00195439749781	2.00048844025395	7.00598826885697	3.00109916954915	2.00048844025395	9.00990220315199	1.00012209018435	3.00109916954915	16.0313316193744	17.0353762377124	13.0206736374495	3.00109916954915
AU020206	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0
AW112010	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0
Abca1	0	0	0	4.00195439749781	6.00439882750478	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	3.00109916954915	0	1.00012209018435	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	3.00109916954915	1.00012209018435	3.00109916954915	2.00048844025395	1.00012209018435	3.00109916954915	0	1.00012209018435	0	0	0	5.00305424361532	0	1.00012209018435	0
Abca8a	0	0	4.00195439749781	4.00195439749781	0	0	1.00012209018435	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	3.00109916954915	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435
Abcc9	0	0	0	3.00109916954915	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	3.00109916954915	2.00048844025395	0	0	0	0	0	3.00109916954915	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	9.00990220315199	0	3.00109916954915	3.00109916954915	0	0	1.00012209018435	0	6.00439882750478	0	3.00109916954915	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435
Abi3bp	0	1.00012209018435	4.00195439749781	2.00048844025395	0	0	0	0	0	0	6.00439882750478	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	7.00598826885697	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0
Ablim1	5.00305424361532	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	6.00439882750478	2.00048844025395	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0
Ace	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0
Ackr4	0	0	0	0	24.0705883708827	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0
