GENEID	X1	X2	X3	X5	X6	X7	X8	X10	X13	X15	X16	X17	X18	X19	X21	X22	X23	X24	X27	X28	X29	X30	X31	X32	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X52	X53	X54	X55	X56	X60	X61	X62	X63	X64	X67	X69	X70	X71	X72	X73	X74	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96
1700025G04Rik	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	4.00195439749781	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	6.00439882750478	0	0	2.00048844025395	0	0	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0
2810474O19Rik	0	1.00012209018435	0	0	1.00012209018435	3.00109916954915	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	21.0540177177831	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	0	3.00109916954915	0	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	0	0
9930111J21Rik1	0	2.00048844025395	4.00195439749781	12.0176125328898	2.00048844025395	1.00012209018435	1.00012209018435	0	6.00439882750478	2.00048844025395	3.00109916954915	4.00195439749781	6.00439882750478	0	0	7.00598826885697	13.0206736374495	4.00195439749781	6.00439882750478	6.00439882750478	11.0147970057849	2.00048844025395	4.00195439749781	5.00305424361532	2.00048844025395	3.00109916954915	13.0206736374495	1.00012209018435	10.0122269359159	2.00048844025395	2.00048844025395	0	1.00012209018435	6.00439882750478	0	2.00048844025395	10.0122269359159	8.00782268745052	0	1.00012209018435	3.00109916954915	9.00990220315199	9.00990220315199	6.00439882750478	1.00012209018435	18.0396670359275	8.00782268745052	3.00109916954915	5.00305424361532	4.00195439749781	1.00012209018435	8.00782268745052	3.00109916954915	2.00048844025395	2.00048844025395	8.00782268745052	5.00305424361532	4.00195439749781	10.0122269359159	5.00305424361532	10.0122269359159	5.00305424361532	1.00012209018435	7.00598826885697	3.00109916954915	4.00195439749781	1.00012209018435	3.00109916954915	11.0147970057849	2.00048844025395	5.00305424361532	4.00195439749781	11.0147970057849	3.00109916954915	14.0239804397716	1.00012209018435	5.00305424361532	10.0122269359159	3.00109916954915
A430073D23Rik	9.00990220315199	8.00782268745052	15.0275330602518	57.4003247346927	14.0239804397716	12.0176125328898	7.00598826885697	9.00990220315199	18.0396670359275	4.00195439749781	7.00598826885697	5.00305424361532	22.0592944438992	3.00109916954915	4.00195439749781	33.1336529167031	34.1418990756402	14.0239804397716	27.0893822675098	25.0766058142306	45.2490179242113	9.00990220315199	6.00439882750478	11.0147970057849	15.0275330602518	18.0396670359275	37.1681275103067	11.0147970057849	36.1591362501238	16.0313316193744	5.00305424361532	3.00109916954915	8.00782268745052	33.1336529167031	12.0176125328898	8.00782268745052	38.1773673823587	36.1591362501238	5.00305424361532	3.00109916954915	18.0396670359275	31.1179048445245	26.0828704059517	24.0705883708827	17.0353762377124	48.283466760365	39.186855988824	15.0275330602518	14.0239804397716	9.00990220315199	4.00195439749781	34.1418990756402	9.00990220315199	26.0828704059517	3.00109916954915	25.0766058142306	5.00305424361532	7.00598826885697	49.2954494708865	38.1773673823587	33.1336529167031	19.0442041347699	3.00109916954915	31.1179048445245	14.0239804397716	35.1503934793561	9.00990220315199	10.0122269359159	26.0828704059517	8.00782268745052	24.0705883708827	23.0648179545339	18.0396670359275	11.0147970057849	33.1336529167031	5.00305424361532	25.0766058142306	33.1336529167031	7.00598826885697
AI838599	1.00012209018435	0	3.00109916954915	1.00012209018435	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	0	0	3.00109916954915	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	5.00305424361532	0	4.00195439749781	0	1.00012209018435	3.00109916954915	2.00048844025395	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	3.00109916954915	0	1.00012209018435	1.00012209018435	4.00195439749781	0	1.00012209018435	1.00012209018435	5.00305424361532	1.00012209018435	0	0	0	0	2.00048844025395	1.00012209018435	0	0	2.00048844025395	2.00048844025395	0	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	0	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	3.00109916954915	0	0	2.00048844025395	1.00012209018435
Abca8a	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	3.00109916954915	0	0	0	4.00195439749781	0	0	0	0	0	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	0	0	3.00109916954915	2.00048844025395	1.00012209018435	2.00048844025395	2.00048844025395	0	3.00109916954915	2.00048844025395	0	0	0	0	1.00012209018435	2.00048844025395	2.00048844025395	0	2.00048844025395	0	7.00598826885697	0	3.00109916954915	4.00195439749781	0	2.00048844025395	2.00048844025395	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	3.00109916954915	0	1.00012209018435	1.00012209018435	0	2.00048844025395	2.00048844025395	0	0	0
Abcc9	0	5.00305424361532	2.00048844025395	0	0	2.00048844025395	2.00048844025395	2.00048844025395	2.00048844025395	0	2.00048844025395	0	0	0	3.00109916954915	3.00109916954915	0	0	0	3.00109916954915	0	0	3.00109916954915	0	0	1.00012209018435	1.00012209018435	3.00109916954915	0	0	5.00305424361532	0	0	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	0	2.00048844025395	6.00439882750478	3.00109916954915	6.00439882750478	3.00109916954915	1.00012209018435	0	1.00012209018435	3.00109916954915	4.00195439749781	4.00195439749781	0	0	3.00109916954915	4.00195439749781	0	0	0	3.00109916954915	0	5.00305424361532	5.00305424361532	5.00305424361532	0	3.00109916954915	3.00109916954915	1.00012209018435	0	0	4.00195439749781	2.00048844025395	1.00012209018435	0	0	1.00012209018435	1.00012209018435	6.00439882750478	2.00048844025395	2.00048844025395
Acat1	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	5.00305424361532	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	3.00109916954915	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0
Acer3	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	0	0
Ackr4	0	0	0	13.0206736374495	0	0	0	0	0	0	0	0	0	0	0	0	8.00782268745052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0
