GENEID	X97	X98	X99	X100	X101	X102	X103	X104	X107	X108	X111	X112	X113	X114	X115	X116	X117	X118	X120	X121	X122	X123	X124	X126	X127	X129	X130	X131	X133	X134	X135	X136	X137	X138	X140	X141	X143	X144	X146	X148	X149	X150	X152	X153	X155	X157	X158	X159	X161	X162	X163	X164	X165	X168	X169	X170	X171	X172	X173	X174	X176	X178	X179	X180	X181	X182	X183	X185	X186	X190	X191	X192
4930511M06Rik	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	5.00305424361532	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0
8430408G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0239804397716	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9930111J21Rik1	5.00305424361532	3.00109916954915	0	1.00012209018435	3.00109916954915	3.00109916954915	4.00195439749781	4.00195439749781	2.00048844025395	1.00012209018435	6.00439882750478	0	0	4.00195439749781	0	2.00048844025395	2.00048844025395	7.00598826885697	3.00109916954915	1.00012209018435	1.00012209018435	0	7.00598826885697	3.00109916954915	1.00012209018435	1.00012209018435	5.00305424361532	2.00048844025395	0	3.00109916954915	1.00012209018435	5.00305424361532	1.00012209018435	2.00048844025395	8.00782268745052	3.00109916954915	4.00195439749781	0	0	10.0122269359159	1.00012209018435	1.00012209018435	11.0147970057849	2.00048844025395	0	1.00012209018435	2.00048844025395	1.00012209018435	8.00782268745052	1.00012209018435	2.00048844025395	3.00109916954915	4.00195439749781	2.00048844025395	7.00598826885697	2.00048844025395	4.00195439749781	1.00012209018435	3.00109916954915	2.00048844025395	0	14.0239804397716	2.00048844025395	0	3.00109916954915	2.00048844025395	4.00195439749781	0	2.00048844025395	3.00109916954915	0	1.00012209018435
A430073D23Rik	5.00305424361532	6.00439882750478	3.00109916954915	11.0147970057849	13.0206736374495	21.0540177177831	11.0147970057849	12.0176125328898	10.0122269359159	6.00439882750478	11.0147970057849	19.0442041347699	2.00048844025395	24.0705883708827	1.00012209018435	15.0275330602518	14.0239804397716	21.0540177177831	10.0122269359159	5.00305424361532	9.00990220315199	3.00109916954915	27.0893822675098	16.0313316193744	11.0147970057849	2.00048844025395	20.048987655079	17.0353762377124	3.00109916954915	11.0147970057849	0	18.0396670359275	0	2.00048844025395	4.00195439749781	7.00598826885697	8.00782268745052	2.00048844025395	2.00048844025395	23.0648179545339	5.00305424361532	2.00048844025395	24.0705883708827	6.00439882750478	7.00598826885697	11.0147970057849	9.00990220315199	16.0313316193744	35.1503934793561	7.00598826885697	6.00439882750478	5.00305424361532	7.00598826885697	13.0206736374495	10.0122269359159	10.0122269359159	14.0239804397716	1.00012209018435	5.00305424361532	6.00439882750478	7.00598826885697	31.1179048445245	5.00305424361532	0	2.00048844025395	4.00195439749781	6.00439882750478	8.00782268745052	12.0176125328898	4.00195439749781	1.00012209018435	5.00305424361532
AI838599	2.00048844025395	1.00012209018435	0	1.00012209018435	0	1.00012209018435	2.00048844025395	3.00109916954915	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	0	0	0	3.00109916954915	0	1.00012209018435	0	0	1.00012209018435	0	6.00439882750478	1.00012209018435	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	3.00109916954915	1.00012209018435	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	1.00012209018435	4.00195439749781	0	4.00195439749781	2.00048844025395	2.00048844025395	2.00048844025395	2.00048844025395	0	1.00012209018435	0	0	0	0	4.00195439749781	1.00012209018435	0	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	2.00048844025395
Abca1	1.00012209018435	2.00048844025395	0	4.00195439749781	0	0	0	5.00305424361532	0	1.00012209018435	2.00048844025395	6.00439882750478	2.00048844025395	0	0	0	1.00012209018435	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	3.00109916954915	1.00012209018435	0	0	1.00012209018435	0	0	2.00048844025395	0	2.00048844025395	0	6.00439882750478	2.00048844025395	0	1.00012209018435	2.00048844025395	1.00012209018435	0	2.00048844025395	0	8.00782268745052	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	0	3.00109916954915	0	0	0	0
Abca8a	2.00048844025395	0	0	0	0	0	0	3.00109916954915	0	3.00109916954915	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	5.00305424361532	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395
Abcb1b	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc9	1.00012209018435	4.00195439749781	0	1.00012209018435	1.00012209018435	1.00012209018435	5.00305424361532	5.00305424361532	1.00012209018435	3.00109916954915	5.00305424361532	3.00109916954915	1.00012209018435	1.00012209018435	0	4.00195439749781	0	7.00598826885697	0	2.00048844025395	1.00012209018435	0	3.00109916954915	0	3.00109916954915	1.00012209018435	3.00109916954915	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	3.00109916954915	2.00048844025395	2.00048844025395	0	1.00012209018435	1.00012209018435	5.00305424361532	1.00012209018435	0	6.00439882750478	5.00305424361532	0	2.00048844025395	1.00012209018435	8.00782268745052	0	1.00012209018435	0	0	3.00109916954915	1.00012209018435	1.00012209018435	3.00109916954915	5.00305424361532	1.00012209018435	0	4.00195439749781	1.00012209018435	0	1.00012209018435	2.00048844025395	2.00048844025395	3.00109916954915	1.00012209018435	2.00048844025395
Acta2	1.00012209018435	0	0	5.00305424361532	0	51.3201652807748	2.00048844025395	0	2.00048844025395	2.00048844025395	1.00012209018435	0	4.00195439749781	0	0	2.00048844025395	0	0	1.00012209018435	0	3.00109916954915	0	0	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	3.00109916954915	0	0	0	0	8.00782268745052	2.00048844025395	0	7.00598826885697	0	1.00012209018435	0	8.00782268745052	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	3.00109916954915	3.00109916954915	0	3.00109916954915	2.00048844025395	0	1.00012209018435	7.00598826885697	2.00048844025395	0	4.00195439749781	1.00012209018435
