GENEID	X7	X8	X13	X14	X15	X16	X21	X22	X23	X24	X29	X30	X31	X32	X40	X44	X47	X48	X49	X56	X63	X64	X65	X68	X71	X72	X76	X78	X79	X80	X87	X88	X94	X96
Actn1	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	3.00109916954915	0	0	0	8.00782268745052	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	4.00195439749781	0	6.00439882750478	3.00109916954915	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	0	0	1.00012209018435	9.00990220315199	1.00012209018435	0	1.00012209018435	0	2.00048844025395
Actn4	0	0	0	0	5.00305424361532	0	0	1.00012209018435	2.00048844025395	0	0	0	0	2.00048844025395	3.00109916954915	0	5.00305424361532	1.00012209018435	0	6.00439882750478	3.00109916954915	0	0	0	1.00012209018435	0	0	0	6.00439882750478	4.00195439749781	0	0	0	0
Actr2	0	0	0	0	3.00109916954915	0	0	1.00012209018435	0	2.00048844025395	2.00048844025395	0	2.00048844025395	0	0	0	0	1.00012209018435	0	4.00195439749781	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	5.00305424361532	1.00012209018435	0	2.00048844025395	0	1.00012209018435
Actr3	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	2.00048844025395	4.00195439749781	0	1.00012209018435	2.00048844025395	1.00012209018435	0	1.00012209018435	0	7.00598826885697	2.00048844025395	0	4.00195439749781	0	2.00048844025395
Adam12	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	4.00195439749781	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435	0	4.00195439749781	0	4.00195439749781	2.00048844025395	0	2.00048844025395	7.00598826885697	1.00012209018435	0	0	2.00048844025395	2.00048844025395	11.0147970057849	0	7.00598826885697	4.00195439749781	8.00782268745052	5.00305424361532	0	0
Adam15	0	0	0	0	6.00439882750478	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0
Adamts1	1.00012209018435	0	3.00109916954915	1.00012209018435	1.00012209018435	4.00195439749781	1.00012209018435	7.00598826885697	4.00195439749781	8.00782268745052	15.0275330602518	2.00048844025395	6.00439882750478	6.00439882750478	12.0176125328898	4.00195439749781	6.00439882750478	12.0176125328898	0	1.00012209018435	27.0893822675098	5.00305424361532	0	9.00990220315199	0	15.0275330602518	12.0176125328898	3.00109916954915	9.00990220315199	0	0	9.00990220315199	1.00012209018435	1.00012209018435
Adamts17	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	5.00305424361532	1.00012209018435	3.00109916954915	1.00012209018435	0	0
Adamts4	0	0	0	0	3.00109916954915	3.00109916954915	0	0	0	0	0	0	3.00109916954915	0	2.00048844025395	0	0	14.0239804397716	0	3.00109916954915	0	3.00109916954915	0	1.00012209018435	1.00012209018435	2.00048844025395	3.00109916954915	0	10.0122269359159	0	0	3.00109916954915	0	0
Adamts9	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	7.00598826885697	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	7.00598826885697	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	11.0147970057849	0	0	2.00048844025395	0	0
Adcyap1r1	0	0	0	0	0	0	0	1.00012209018435	0	0	2.00048844025395	3.00109916954915	5.00305424361532	1.00012209018435	0	0	0	3.00109916954915	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0
Add1	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	3.00109916954915	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	3.00109916954915	5.00305424361532	4.00195439749781	1.00012209018435	3.00109916954915	4.00195439749781	0	3.00109916954915
Add3	0	0	0	0	0	0	0	4.00195439749781	3.00109916954915	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	0	0	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	5.00305424361532	0	0
Adgre5	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	5.00305424361532	0	0	1.00012209018435	1.00012209018435	0	0	0	0	5.00305424361532	0	0	0	0	0
Adgrl1	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	3.00109916954915	0	1.00012209018435	1.00012209018435	0	3.00109916954915	3.00109916954915	0	0	0	0	1.00012209018435	3.00109916954915	1.00012209018435	5.00305424361532	8.00782268745052	0	0	0	0
Adh1	1.00012209018435	0	0	0	0	0	0	3.00109916954915	3.00109916954915	0	0	0	1.00012209018435	3.00109916954915	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	10.0122269359159	0	0	0	2.00048844025395	0	0	0
Adm	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	1.00012209018435	0
Adra2a	0	0	0	3.00109916954915	0	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	9.00990220315199	0	0	11.0147970057849	2.00048844025395	2.00048844025395	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0
Aebp1	0	2.00048844025395	0	3.00109916954915	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	0	5.00305424361532	0	0	0	1.00012209018435	4.00195439749781	0	5.00305424361532	1.00012209018435	0	0	0	2.00048844025395	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0
Aff4	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	4.00195439749781	0	0	2.00048844025395	2.00048844025395	0	1.00012209018435	1.00012209018435	0	3.00109916954915	5.00305424361532	0	0	3.00109916954915	1.00012209018435	3.00109916954915	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0
Afg3l1	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	5.00305424361532	0	0	0	0
Ago2	0	0	1.00012209018435	1.00012209018435	0	0	0	6.00439882750478	4.00195439749781	1.00012209018435	0	0	2.00048844025395	0	2.00048844025395	0	3.00109916954915	2.00048844025395	0	10.0122269359159	15.0275330602518	1.00012209018435	0	0	2.00048844025395	2.00048844025395	3.00109916954915	0	6.00439882750478	0	0	1.00012209018435	2.00048844025395	0
Agps	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	12.0176125328898	1.00012209018435	6.00439882750478	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0
Agrn	0	0	0	0	3.00109916954915	0	1.00012209018435	0	0	0	0	0	0	0	3.00109916954915	0	1.00012209018435	0	0	11.0147970057849	2.00048844025395	1.00012209018435	3.00109916954915	1.00012209018435	0	0	1.00012209018435	0	4.00195439749781	1.00012209018435	0	5.00305424361532	0	3.00109916954915
Agtr2	0	0	0	0	0	0	0	14.0239804397716	0	2.00048844025395	0	0	9.00990220315199	14.0239804397716	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	25.0766058142306	3.00109916954915	8.00782268745052	14.0239804397716	8.00782268745052	30.1104026871881	7.00598826885697	0
Ahcyl1	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	3.00109916954915	0	1.00012209018435	4.00195439749781	0	5.00305424361532	1.00012209018435	0	0	0	0	0	1.00012209018435	2.00048844025395	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0
Ahnak	5.00305424361532	1.00012209018435	4.00195439749781	1.00012209018435	6.00439882750478	7.00598826885697	1.00012209018435	2.00048844025395	1.00012209018435	7.00598826885697	14.0239804397716	0	18.0396670359275	6.00439882750478	4.00195439749781	3.00109916954915	14.0239804397716	17.0353762377124	0	10.0122269359159	19.0442041347699	6.00439882750478	4.00195439749781	3.00109916954915	2.00048844025395	3.00109916954915	12.0176125328898	1.00012209018435	8.00782268745052	9.00990220315199	3.00109916954915	19.0442041347699	1.00012209018435	3.00109916954915
Ajuba	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	5.00305424361532	1.00012209018435	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0
Akap13	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	7.00598826885697	0	0	0	0	5.00305424361532	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	2.00048844025395	0	1.00012209018435
Akap2	0	0	0	1.00012209018435	4.00195439749781	5.00305424361532	0	4.00195439749781	0	0	4.00195439749781	0	1.00012209018435	0	5.00305424361532	0	5.00305424361532	11.0147970057849	0	5.00305424361532	7.00598826885697	0	0	0	0	8.00782268745052	0	1.00012209018435	7.00598826885697	1.00012209018435	0	2.00048844025395	0	1.00012209018435
Akap9	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	0	2.00048844025395	6.00439882750478	0	0	2.00048844025395	0	0	0	0	0	0	0	0	3.00109916954915	0	1.00012209018435	0	3.00109916954915
Akr1a1	0	0	0	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	4.00195439749781	0	1.00012209018435	0	2.00048844025395	0	5.00305424361532	3.00109916954915	0	7.00598826885697	8.00782268745052	0	6.00439882750478	3.00109916954915	3.00109916954915	1.00012209018435	0	0	5.00305424361532	1.00012209018435	0	1.00012209018435	0	1.00012209018435
Akt1	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	4.00195439749781	0	0	2.00048844025395	0	5.00305424361532	3.00109916954915	2.00048844025395	1.00012209018435	0	0	1.00012209018435	4.00195439749781	1.00012209018435	5.00305424361532	1.00012209018435	3.00109916954915	2.00048844025395	0	1.00012209018435
Aldh2	0	0	1.00012209018435	0	0	0	0	0	4.00195439749781	0	0	0	3.00109916954915	7.00598826885697	0	0	2.00048844025395	3.00109916954915	0	4.00195439749781	3.00109916954915	1.00012209018435	0	0	0	0	3.00109916954915	0	2.00048844025395	3.00109916954915	1.00012209018435	0	0	0
Aldoa	0	1.00012209018435	0	0	3.00109916954915	5.00305424361532	0	3.00109916954915	2.00048844025395	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	2.00048844025395	0	2.00048844025395	0	0	0	1.00012209018435	3.00109916954915	0	5.00305424361532	0	4.00195439749781	1.00012209018435	2.00048844025395	0	2.00048844025395	0
Alkbh5	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0
Anapc5	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	4.00195439749781	0	4.00195439749781	0	0	2.00048844025395	0	5.00305424361532	2.00048844025395	1.00012209018435	0	0	1.00012209018435	2.00048844025395	1.00012209018435	0	2.00048844025395	3.00109916954915	2.00048844025395	3.00109916954915	0	2.00048844025395
Angptl2	0	0	1.00012209018435	0	0	0	0	8.00782268745052	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	4.00195439749781	0	2.00048844025395	0
Angptl4	3.00109916954915	2.00048844025395	0	0	0	0	0	0	0	8.00782268745052	0	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	15.0275330602518	0	0	0	3.00109916954915	0	0	0	0	8.00782268745052	0	3.00109916954915	0	2.00048844025395	1.00012209018435	1.00012209018435	5.00305424361532
Ankrd11	0	0	1.00012209018435	0	3.00109916954915	5.00305424361532	0	0	2.00048844025395	2.00048844025395	1.00012209018435	0	3.00109916954915	3.00109916954915	3.00109916954915	0	7.00598826885697	4.00195439749781	0	4.00195439749781	3.00109916954915	2.00048844025395	0	0	1.00012209018435	2.00048844025395	2.00048844025395	0	9.00990220315199	4.00195439749781	2.00048844025395	0	3.00109916954915	3.00109916954915
Ankrd12	3.00109916954915	0	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	3.00109916954915	0	5.00305424361532	0	0	6.00439882750478	0	3.00109916954915	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	7.00598826885697	0	1.00012209018435	0	0	1.00012209018435	0	0
Ankrd17	0	0	0	0	1.00012209018435	1.00012209018435	3.00109916954915	2.00048844025395	2.00048844025395	2.00048844025395	3.00109916954915	0	0	3.00109916954915	1.00012209018435	0	4.00195439749781	3.00109916954915	0	3.00109916954915	1.00012209018435	0	4.00195439749781	4.00195439749781	6.00439882750478	0	6.00439882750478	0	5.00305424361532	0	2.00048844025395	3.00109916954915	1.00012209018435	0
Ankrd40	0	0	0	1.00012209018435	0	1.00012209018435	3.00109916954915	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	7.00598826885697	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
Ano6	0	0	1.00012209018435	0	4.00195439749781	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	5.00305424361532	0	0	2.00048844025395	0	3.00109916954915	4.00195439749781	0	2.00048844025395	0	1.00012209018435	2.00048844025395	4.00195439749781	0	3.00109916954915	3.00109916954915	1.00012209018435	2.00048844025395	1.00012209018435	0
Anp32b	0	0	0	0	0	4.00195439749781	2.00048844025395	0	0	1.00012209018435	3.00109916954915	0	4.00195439749781	1.00012209018435	2.00048844025395	0	4.00195439749781	2.00048844025395	0	12.0176125328898	2.00048844025395	0	3.00109916954915	1.00012209018435	0	3.00109916954915	2.00048844025395	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0
Antxr1	0	0	0	0	0	0	0	4.00195439749781	0	1.00012209018435	3.00109916954915	0	2.00048844025395	3.00109916954915	3.00109916954915	1.00012209018435	0	5.00305424361532	0	1.00012209018435	7.00598826885697	2.00048844025395	1.00012209018435	0	0	1.00012209018435	10.0122269359159	1.00012209018435	4.00195439749781	1.00012209018435	1.00012209018435	7.00598826885697	6.00439882750478	0
Anxa1	4.00195439749781	2.00048844025395	0	0	0	3.00109916954915	1.00012209018435	0	0	0	0	0	0	2.00048844025395	6.00439882750478	0	1.00012209018435	4.00195439749781	0	13.0206736374495	0	1.00012209018435	3.00109916954915	0	1.00012209018435	0	0	1.00012209018435	4.00195439749781	5.00305424361532	0	2.00048844025395	0	0
Anxa2	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435	3.00109916954915	1.00012209018435	0	1.00012209018435	4.00195439749781	1.00012209018435	1.00012209018435	1.00012209018435	0	4.00195439749781	1.00012209018435	0	0	0	2.00048844025395	0	1.00012209018435	0	11.0147970057849	0	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435
Anxa5	0	0	0	0	3.00109916954915	2.00048844025395	2.00048844025395	7.00598826885697	6.00439882750478	0	8.00782268745052	1.00012209018435	2.00048844025395	3.00109916954915	7.00598826885697	0	1.00012209018435	2.00048844025395	0	15.0275330602518	5.00305424361532	0	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	11.0147970057849	1.00012209018435	3.00109916954915	2.00048844025395	2.00048844025395	2.00048844025395
Anxa6	0	0	0	1.00012209018435	2.00048844025395	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	2.00048844025395	1.00012209018435	3.00109916954915	3.00109916954915	0	2.00048844025395	1.00012209018435	0	4.00195439749781	3.00109916954915	1.00012209018435	2.00048844025395	0	3.00109916954915	0	4.00195439749781	1.00012209018435	14.0239804397716	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435
