GENEID	X6	X7	X8	X15	X16	X22	X30	X31	X32	X37	X38	X39	X40	X45	X47	X55	X56	X58	X62	X63	X66	X69	X72	X79	X80	X92	X96
1110038B12Rik	0	6.00439882750478	2.00048844025395	0	2.00048844025395	0	0	0	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435	3.00109916954915	1.00012209018435	3.00109916954915	2.00048844025395	3.00109916954915	2.00048844025395	0	0	4.00195439749781	1.00012209018435	0	1.00012209018435	0
2410006H16Rik	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	2.00048844025395	0	2.00048844025395	6.00439882750478	1.00012209018435	2.00048844025395	3.00109916954915	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	2.00048844025395	2.00048844025395	0
4632427E13Rik	0	1.00012209018435	1.00012209018435	2.00048844025395	5.00305424361532	0	0	0	1.00012209018435	0	2.00048844025395	2.00048844025395	1.00012209018435	3.00109916954915	1.00012209018435	0	0	0	0	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	0
9930111J21Rik1	5.00305424361532	12.0176125328898	2.00048844025395	2.00048844025395	4.00195439749781	12.0176125328898	0	0	3.00109916954915	0	8.00782268745052	2.00048844025395	1.00012209018435	7.00598826885697	1.00012209018435	4.00195439749781	2.00048844025395	0	2.00048844025395	0	0	0	3.00109916954915	6.00439882750478	2.00048844025395	0	3.00109916954915
A430073D23Rik	17.0353762377124	43.22730021288	3.00109916954915	7.00598826885697	13.0206736374495	25.0766058142306	0	6.00439882750478	4.00195439749781	0	16.0313316193744	17.0353762377124	5.00305424361532	21.0540177177831	3.00109916954915	25.0766058142306	19.0442041347699	1.00012209018435	20.048987655079	7.00598826885697	2.00048844025395	0	13.0206736374495	15.0275330602518	7.00598826885697	1.00012209018435	6.00439882750478
AI314180	0	3.00109916954915	0	1.00012209018435	1.00012209018435	3.00109916954915	0	0	1.00012209018435	0	2.00048844025395	8.00782268745052	2.00048844025395	2.00048844025395	4.00195439749781	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	0	0
Aamp	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	5.00305424361532	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0
Abca1	0	5.00305424361532	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	4.00195439749781	0	1.00012209018435	3.00109916954915	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0
Abcc9	0	2.00048844025395	9.00990220315199	3.00109916954915	8.00782268745052	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	4.00195439749781	1.00012209018435	0	5.00305424361532	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	5.00305424361532	2.00048844025395	0	3.00109916954915
Abce1	0	4.00195439749781	2.00048844025395	0	0	0	0	0	0	0	0	8.00782268745052	3.00109916954915	1.00012209018435	2.00048844025395	2.00048844025395	2.00048844025395	0	2.00048844025395	4.00195439749781	0	0	1.00012209018435	0	0	0	0
Abhd2	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	8.00782268745052	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0
Acadl	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	2.00048844025395	2.00048844025395	1.00012209018435	1.00012209018435	0	5.00305424361532	0	0	3.00109916954915	0	0	0	0	0	0	0	2.00048844025395
Acta2	0	5.00305424361532	4.00195439749781	1.00012209018435	1.00012209018435	0	0	0	0	4.00195439749781	1.00012209018435	9.00990220315199	1.00012209018435	0	3.00109916954915	5.00305424361532	0	1.00012209018435	0	1.00012209018435	2.00048844025395	9.00990220315199	0	0	0	0	0
