GENEID	X1	X2	X3	X4	X5	X6	X8	X9	X11	X15	X16	X17	X18	X19	X21	X22	X24	X26	X27	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X44	X46	X47	X48	X50	X51	X52	X53	X54	X56	X58	X60	X61	X62	X66	X70	X72	X74	X75	X78	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X95	X96
1810011O10Rik	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	0	2.00048844025395	4.00195439749781	0	0	2.00048844025395	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	3.00109916954915	1.00012209018435	2.00048844025395	3.00109916954915	2.00048844025395	0	0	3.00109916954915	0	9.00990220315199	0	0	0	0	3.00109916954915	1.00012209018435	0	0	0	0	0	6.00439882750478	0	3.00109916954915	0	1.00012209018435
2700029M09Rik	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0
5830444F18Rik	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0
8430408G22Rik	0	0	3.00109916954915	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	4.00195439749781	4.00195439749781	0	0	0	0	4.00195439749781	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435
9930111J21Rik1	4.00195439749781	4.00195439749781	3.00109916954915	1.00012209018435	3.00109916954915	4.00195439749781	1.00012209018435	2.00048844025395	2.00048844025395	1.00012209018435	0	0	1.00012209018435	1.00012209018435	3.00109916954915	4.00195439749781	7.00598826885697	0	17.0353762377124	4.00195439749781	2.00048844025395	5.00305424361532	3.00109916954915	6.00439882750478	1.00012209018435	4.00195439749781	3.00109916954915	8.00782268745052	4.00195439749781	4.00195439749781	0	0	2.00048844025395	0	3.00109916954915	3.00109916954915	6.00439882750478	2.00048844025395	0	13.0206736374495	5.00305424361532	5.00305424361532	5.00305424361532	2.00048844025395	7.00598826885697	6.00439882750478	4.00195439749781	6.00439882750478	17.0353762377124	2.00048844025395	5.00305424361532	4.00195439749781	3.00109916954915	2.00048844025395	2.00048844025395	7.00598826885697	2.00048844025395	2.00048844025395	2.00048844025395	1.00012209018435	11.0147970057849	5.00305424361532	3.00109916954915	2.00048844025395	2.00048844025395	5.00305424361532	3.00109916954915	13.0206736374495
A430073D23Rik	9.00990220315199	22.0592944438992	14.0239804397716	4.00195439749781	7.00598826885697	23.0648179545339	1.00012209018435	11.0147970057849	3.00109916954915	13.0206736374495	1.00012209018435	5.00305424361532	10.0122269359159	14.0239804397716	9.00990220315199	19.0442041347699	19.0442041347699	0	40.1965934523377	15.0275330602518	5.00305424361532	9.00990220315199	12.0176125328898	3.00109916954915	2.00048844025395	14.0239804397716	35.1503934793561	27.0893822675098	13.0206736374495	18.0396670359275	5.00305424361532	2.00048844025395	6.00439882750478	0	6.00439882750478	11.0147970057849	25.0766058142306	40.1965934523377	4.00195439749781	52.332898627509	16.0313316193744	20.048987655079	5.00305424361532	7.00598826885697	25.0766058142306	13.0206736374495	19.0442041347699	10.0122269359159	54.3591168236642	8.00782268745052	34.1418990756402	8.00782268745052	20.048987655079	21.0540177177831	6.00439882750478	11.0147970057849	13.0206736374495	5.00305424361532	8.00782268745052	5.00305424361532	26.0828704059517	33.1336529167031	10.0122269359159	12.0176125328898	8.00782268745052	8.00782268745052	12.0176125328898	26.0828704059517
AI662270	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	5.00305424361532	0	0	0
AW112010	0	0	0	0	2.00048844025395	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00598826885697	0	0	0
Abca1	0	0	0	1.00012209018435	0	0	8.00782268745052	2.00048844025395	0	2.00048844025395	0	0	1.00012209018435	2.00048844025395	2.00048844025395	7.00598826885697	0	0	0	0	1.00012209018435	0	0	0	0	3.00109916954915	0	1.00012209018435	7.00598826885697	0	5.00305424361532	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	3.00109916954915	0	2.00048844025395	2.00048844025395	9.00990220315199	0	0	1.00012209018435	0	4.00195439749781	0	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	3.00109916954915	0	0	0	0	0	1.00012209018435	1.00012209018435	0
Abca8a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	6.00439882750478	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0
Abcc9	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	4.00195439749781	1.00012209018435	3.00109916954915	3.00109916954915	0	1.00012209018435	0	0	0	12.0176125328898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	5.00305424361532	4.00195439749781	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0
Abcg2	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	4.00195439749781	0	0	0	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	2.00048844025395	0	3.00109916954915	0	7.00598826885697	7.00598826885697	1.00012209018435	6.00439882750478	1.00012209018435	0	0	3.00109916954915	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0
Abi3bp	0	0	0	4.00195439749781	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	0	0	0	10.0122269359159	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	10.0122269359159	1.00012209018435	0
Ablim1	3.00109916954915	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	1.00012209018435	2.00048844025395	2.00048844025395	1.00012209018435	2.00048844025395	0	0	2.00048844025395	0	4.00195439749781	6.00439882750478	4.00195439749781	0	0	1.00012209018435	3.00109916954915	1.00012209018435	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	2.00048844025395	0	0	10.0122269359159	0	0	1.00012209018435
Ackr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	5.00305424361532	1.00012209018435	0
Acta2	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	8.00782268745052	0	0	0	0	0	3.00109916954915	0	4.00195439749781	18.0396670359275	1.00012209018435	8.00782268745052	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	18.0396670359275	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	3.00109916954915	0	0	0	0
Actb	9.00990220315199	9.00990220315199	10.0122269359159	29.1031482864402	4.00195439749781	21.0540177177831	3.00109916954915	1.00012209018435	13.0206736374495	23.0648179545339	3.00109916954915	0	1.00012209018435	4.00195439749781	22.0592944438992	62.4740278484444	0	4.00195439749781	3.00109916954915	13.0206736374495	45.2490179242113	5.00305424361532	4.00195439749781	58.4145626995135	8.00782268745052	16.0313316193744	25.0766058142306	6.00439882750478	25.0766058142306	42.2168154415037	5.00305424361532	10.0122269359159	9.00990220315199	9.00990220315199	11.0147970057849	20.048987655079	87.9372454987234	1.00012209018435	13.0206736374495	6.00439882750478	11.0147970057849	4.00195439749781	44.2380343327527	53.3458824338344	18.0396670359275	55.3726019210037	44.2380343327527	32.1256548803621	2.00048844025395	6.00439882750478	16.0313316193744	38.1773673823587	12.0176125328898	12.0176125328898	8.00782268745052	4.00195439749781	4.00195439749781	11.0147970057849	27.0893822675098	20.048987655079	5.00305424361532	12.0176125328898	3.00109916954915	29.1031482864402	158.008891491697	110.476572008402	34.1418990756402	5.00305424361532
