GENEID	X99	X101	X103	X104	X108	X109	X110	X112	X117	X119	X120	X122	X126	X127	X128	X139	X141	X143	X152	X155	X159	X160	X164	X168	X172	X175	X176	X183	X192
1700037C18Rik	0	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	5.00305424361532	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	2.00048844025395	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	0	2.00048844025395
4933411E06Rik	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	6.00439882750478	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	1.00012209018435
4933427J07Rik	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	6.00439882750478	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435
9930111J21Rik1	2.00048844025395	3.00109916954915	5.00305424361532	0	3.00109916954915	5.00305424361532	6.00439882750478	1.00012209018435	1.00012209018435	3.00109916954915	4.00195439749781	25.0766058142306	1.00012209018435	0	7.00598826885697	6.00439882750478	1.00012209018435	1.00012209018435	3.00109916954915	3.00109916954915	1.00012209018435	2.00048844025395	0	10.0122269359159	2.00048844025395	6.00439882750478	7.00598826885697	2.00048844025395	18.0396670359275
A430073D23Rik	3.00109916954915	9.00990220315199	7.00598826885697	14.0239804397716	9.00990220315199	15.0275330602518	27.0893822675098	11.0147970057849	3.00109916954915	13.0206736374495	18.0396670359275	86.9156717311133	4.00195439749781	4.00195439749781	25.0766058142306	11.0147970057849	8.00782268745052	15.0275330602518	10.0122269359159	5.00305424361532	5.00305424361532	11.0147970057849	2.00048844025395	37.1681275103067	4.00195439749781	13.0206736374495	28.0961415204583	7.00598826885697	42.2168154415037
AI838599	0	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	0	0	3.00109916954915	1.00012209018435	10.0122269359159	0	0	4.00195439749781	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	4.00195439749781	1.00012209018435	0	5.00305424361532
AW112010	6.00439882750478	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0
Abca1	4.00195439749781	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	3.00109916954915	0	0	0	0	0	1.00012209018435	8.00782268745052	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	1.00012209018435
Abca8a	0	3.00109916954915	0	1.00012209018435	0	1.00012209018435	0	6.00439882750478	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	0	8.00782268745052	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	0	0	0	1.00012209018435	5.00305424361532
Abcc9	0	1.00012209018435	1.00012209018435	0	0	0	5.00305424361532	5.00305424361532	3.00109916954915	5.00305424361532	5.00305424361532	0	3.00109916954915	1.00012209018435	1.00012209018435	6.00439882750478	4.00195439749781	2.00048844025395	0	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	4.00195439749781	1.00012209018435	7.00598826885697	1.00012209018435	2.00048844025395	1.00012209018435
Acta2	1.00012209018435	6.00439882750478	0	6.00439882750478	3.00109916954915	0	1.00012209018435	5.00305424361532	4.00195439749781	2.00048844025395	0	0	7.00598826885697	0	6.00439882750478	1.00012209018435	1.00012209018435	0	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	8.00782268745052	0
Actb	21.0540177177831	11.0147970057849	24.0705883708827	18.0396670359275	30.1104026871881	8.00782268745052	29.1031482864402	12.0176125328898	22.0592944438992	25.0766058142306	18.0396670359275	2.00048844025395	15.0275330602518	3.00109916954915	34.1418990756402	17.0353762377124	6.00439882750478	11.0147970057849	8.00782268745052	11.0147970057849	11.0147970057849	18.0396670359275	5.00305424361532	28.0961415204583	14.0239804397716	19.0442041347699	26.0828704059517	27.0893822675098	10.0122269359159
