GENEID	X97	X98	X99	X102	X105	X106	X107	X109	X110	X112	X116	X118	X120	X121	X127	X128	X129	X130	X133	X135	X138	X139	X141	X142	X145	X148	X150	X151	X152	X153	X159	X161	X165	X167	X174	X176	X177	X178	X179	X182	X184	X185	X187	X190	X191	X192
1810011O10Rik	3.00109916954915	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	0	0	0	4.00195439749781	0	0	1.00012209018435	0	0	0	9.00990220315199	1.00012209018435	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	0
2900060B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0
4933427J07Rik	1.00012209018435	2.00048844025395	0	0	0	0	0	6.00439882750478	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	2.00048844025395	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0
9930111J21Rik1	4.00195439749781	5.00305424361532	2.00048844025395	5.00305424361532	4.00195439749781	5.00305424361532	0	12.0176125328898	4.00195439749781	5.00305424361532	7.00598826885697	0	7.00598826885697	0	1.00012209018435	0	18.0396670359275	0	7.00598826885697	0	12.0176125328898	3.00109916954915	0	2.00048844025395	4.00195439749781	9.00990220315199	4.00195439749781	9.00990220315199	0	17.0353762377124	4.00195439749781	12.0176125328898	3.00109916954915	24.0705883708827	4.00195439749781	3.00109916954915	3.00109916954915	2.00048844025395	2.00048844025395	9.00990220315199	0	2.00048844025395	6.00439882750478	2.00048844025395	3.00109916954915	1.00012209018435
A430073D23Rik	19.0442041347699	10.0122269359159	0	9.00990220315199	2.00048844025395	6.00439882750478	1.00012209018435	38.1773673823587	23.0648179545339	30.1104026871881	27.0893822675098	5.00305424361532	13.0206736374495	2.00048844025395	5.00305424361532	5.00305424361532	30.1104026871881	0	21.0540177177831	3.00109916954915	21.0540177177831	7.00598826885697	1.00012209018435	4.00195439749781	17.0353762377124	17.0353762377124	16.0313316193744	23.0648179545339	0	72.6403274332921	13.0206736374495	24.0705883708827	20.048987655079	37.1681275103067	7.00598826885697	10.0122269359159	6.00439882750478	1.00012209018435	2.00048844025395	25.0766058142306	6.00439882750478	3.00109916954915	17.0353762377124	5.00305424361532	8.00782268745052	1.00012209018435
AI838599	0	2.00048844025395	0	0	0	0	0	3.00109916954915	3.00109916954915	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	0	5.00305424361532	0	0	0	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	0	0	4.00195439749781	3.00109916954915	3.00109916954915	3.00109916954915	4.00195439749781	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	0	0
Abca1	8.00782268745052	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	0	3.00109916954915	0	1.00012209018435	0	0	2.00048844025395	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	6.00439882750478	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	0	3.00109916954915	1.00012209018435	0	1.00012209018435
Abca2	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0
Abcc9	0	6.00439882750478	0	0	0	0	2.00048844025395	0	0	1.00012209018435	4.00195439749781	1.00012209018435	0	4.00195439749781	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	1.00012209018435	0	3.00109916954915	2.00048844025395	0	0	1.00012209018435	0	0	7.00598826885697	0	2.00048844025395	0	0	0	0	3.00109916954915	0	0	0	0	0	0	2.00048844025395
Ackr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0
