GENEID	X128	X129	X157	X158	X176	X192
1110038B12Rik	1.00012209018435	2.00048844025395	5.00305424361532	3.00109916954915	5.00305424361532	2.00048844025395
1700025G04Rik	0	0	0	7.00598826885697	1.00012209018435	1.00012209018435
1810011O10Rik	7.00598826885697	0	0	0	0	0
1810058I24Rik	1.00012209018435	1.00012209018435	5.00305424361532	2.00048844025395	6.00439882750478	1.00012209018435
2010107E04Rik	0	2.00048844025395	0	6.00439882750478	0	0
2310036O22Rik	5.00305424361532	2.00048844025395	1.00012209018435	2.00048844025395	0	1.00012209018435
2810474O19Rik	0	4.00195439749781	0	0	0	6.00439882750478
4930402H24Rik	0	1.00012209018435	0	2.00048844025395	5.00305424361532	0
9930111J21Rik1	7.00598826885697	5.00305424361532	5.00305424361532	10.0122269359159	4.00195439749781	7.00598826885697
A430073D23Rik	13.0206736374495	22.0592944438992	21.0540177177831	29.1031482864402	23.0648179545339	26.0828704059517
AI506816	1.00012209018435	2.00048844025395	5.00305424361532	0	0	1.00012209018435
Aars	0	8.00782268745052	1.00012209018435	3.00109916954915	0	1.00012209018435
Abca8a	1.00012209018435	0	2.00048844025395	5.00305424361532	0	2.00048844025395
Abcc9	0	16.0313316193744	8.00782268745052	5.00305424361532	14.0239804397716	0
Acta2	2.00048844025395	1.00012209018435	5.00305424361532	1.00012209018435	0	1.00012209018435
Actb	14.0239804397716	61.4587843186464	12.0176125328898	18.0396670359275	33.1336529167031	27.0893822675098
Actg1	14.0239804397716	7.00598826885697	3.00109916954915	10.0122269359159	9.00990220315199	8.00782268745052
Actn4	0	7.00598826885697	1.00012209018435	3.00109916954915	5.00305424361532	3.00109916954915
Adam12	5.00305424361532	4.00195439749781	0	4.00195439749781	3.00109916954915	2.00048844025395
Adamts1	19.0442041347699	13.0206736374495	5.00305424361532	3.00109916954915	3.00109916954915	9.00990220315199
Adamts20	8.00782268745052	1.00012209018435	1.00012209018435	0	0	1.00012209018435
Adamts4	1.00012209018435	8.00782268745052	0	0	10.0122269359159	5.00305424361532
Adamts9	1.00012209018435	9.00990220315199	0	0	0	0
Adcy6	0	2.00048844025395	0	1.00012209018435	7.00598826885697	0
Adgrf5	0	5.00305424361532	0	0	1.00012209018435	0
Adgrl1	0	0	2.00048844025395	6.00439882750478	1.00012209018435	1.00012209018435
Adra2a	1.00012209018435	0	3.00109916954915	0	0	14.0239804397716
Aebp2	5.00305424361532	0	1.00012209018435	1.00012209018435	0	2.00048844025395
Ago2	2.00048844025395	1.00012209018435	2.00048844025395	3.00109916954915	11.0147970057849	7.00598826885697
Agtr2	2.00048844025395	0	0	10.0122269359159	0	0
Ahnak	15.0275330602518	12.0176125328898	10.0122269359159	3.00109916954915	4.00195439749781	19.0442041347699
Ajuba	0	0	0	0	15.0275330602518	0
Ak2	0	0	5.00305424361532	2.00048844025395	0	1.00012209018435
Akap2	2.00048844025395	9.00990220315199	8.00782268745052	7.00598826885697	6.00439882750478	3.00109916954915
Akr1a1	0	5.00305424361532	5.00305424361532	3.00109916954915	3.00109916954915	3.00109916954915
Akt1	1.00012209018435	5.00305424361532	0	5.00305424361532	1.00012209018435	1.00012209018435
Aldoa	4.00195439749781	11.0147970057849	0	2.00048844025395	3.00109916954915	1.00012209018435
Amotl1	1.00012209018435	6.00439882750478	0	0	5.00305424361532	2.00048844025395
Angptl4	1.00012209018435	2.00048844025395	0	21.0540177177831	6.00439882750478	0
Ankrd11	1.00012209018435	12.0176125328898	5.00305424361532	5.00305424361532	2.00048844025395	2.00048844025395
Ankrd17	1.00012209018435	0	1.00012209018435	7.00598826885697	0	1.00012209018435
Anxa1	0	12.0176125328898	0	1.00012209018435	2.00048844025395	0
Anxa2	3.00109916954915	7.00598826885697	0	1.00012209018435	2.00048844025395	4.00195439749781
Anxa5	2.00048844025395	10.0122269359159	0	4.00195439749781	4.00195439749781	1.00012209018435
Aoc3	3.00109916954915	2.00048844025395	2.00048844025395	2.00048844025395	8.00782268745052	6.00439882750478
Aplp2	1.00012209018435	6.00439882750478	3.00109916954915	2.00048844025395	2.00048844025395	7.00598826885697
Apoe	12.0176125328898	0	22.0592944438992	39.186855988824	0	45.2490179242113
Apold1	0	0	0	0	6.00439882750478	0
App	6.00439882750478	17.0353762377124	5.00305424361532	10.0122269359159	11.0147970057849	8.00782268745052
Appbp2	1.00012209018435	1.00012209018435	0	1.00012209018435	0	5.00305424361532
Aqp1	0	0	1.00012209018435	10.0122269359159	0	0
Arcn1	3.00109916954915	8.00782268745052	1.00012209018435	2.00048844025395	1.00012209018435	3.00109916954915
Arf1	2.00048844025395	3.00109916954915	6.00439882750478	7.00598826885697	2.00048844025395	2.00048844025395
Arf4	6.00439882750478	5.00305424361532	5.00305424361532	8.00782268745052	2.00048844025395	6.00439882750478
Arf6	6.00439882750478	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395
Arhgap24	6.00439882750478	2.00048844025395	0	0	0	0
Arhgap29	5.00305424361532	1.00012209018435	0	3.00109916954915	1.00012209018435	0
Arhgdia	0	6.00439882750478	1.00012209018435	5.00305424361532	2.00048844025395	0
Arhgef17	1.00012209018435	1.00012209018435	0	0	11.0147970057849	3.00109916954915
Arhgef2	4.00195439749781	5.00305424361532	0	3.00109916954915	0	1.00012209018435
Arid4b	0	5.00305424361532	1.00012209018435	5.00305424361532	0	9.00990220315199
Arid5a	3.00109916954915	0	2.00048844025395	2.00048844025395	0	5.00305424361532
Arl1	7.00598826885697	4.00195439749781	2.00048844025395	4.00195439749781	4.00195439749781	1.00012209018435
Arl13b	1.00012209018435	6.00439882750478	0	1.00012209018435	3.00109916954915	2.00048844025395
Arpc1a	2.00048844025395	0	2.00048844025395	5.00305424361532	5.00305424361532	0
Arpc1b	3.00109916954915	6.00439882750478	0	5.00305424361532	3.00109916954915	9.00990220315199
Arpc2	5.00305424361532	5.00305424361532	3.00109916954915	2.00048844025395	10.0122269359159	7.00598826885697
