GENEID	X1	X2	X3	X5	X6	X7	X8	X9	X12	X13	X15	X16	X19	X20	X21	X23	X24	X25	X26	X27	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96
0610012G03Rik	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	5.00305424361532	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
2310022B05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0
2410018L13Rik	0	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0
2810417H13Rik	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00782268745052	0	0	0	0	0	0	0	0	0	0
9930111J21Rik1	2.00048844025395	1.00012209018435	2.00048844025395	13.0206736374495	7.00598826885697	1.00012209018435	2.00048844025395	6.00439882750478	13.0206736374495	1.00012209018435	1.00012209018435	4.00195439749781	1.00012209018435	6.00439882750478	3.00109916954915	3.00109916954915	9.00990220315199	5.00305424361532	1.00012209018435	0	3.00109916954915	2.00048844025395	4.00195439749781	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915	2.00048844025395	6.00439882750478	2.00048844025395	8.00782268745052	1.00012209018435	2.00048844025395	3.00109916954915	7.00598826885697	6.00439882750478	13.0206736374495	2.00048844025395	5.00305424361532	3.00109916954915	6.00439882750478	1.00012209018435	5.00305424361532	5.00305424361532	2.00048844025395	0	3.00109916954915	1.00012209018435	0	2.00048844025395	3.00109916954915	7.00598826885697	5.00305424361532	5.00305424361532	3.00109916954915	0	1.00012209018435	4.00195439749781	2.00048844025395	3.00109916954915	0	2.00048844025395	4.00195439749781	2.00048844025395	7.00598826885697	8.00782268745052	5.00305424361532	2.00048844025395	3.00109916954915	2.00048844025395	0	3.00109916954915	12.0176125328898	10.0122269359159	5.00305424361532	8.00782268745052	5.00305424361532	2.00048844025395	3.00109916954915	1.00012209018435	1.00012209018435	0	3.00109916954915	5.00305424361532	3.00109916954915
A430073D23Rik	7.00598826885697	12.0176125328898	15.0275330602518	44.2380343327527	2.00048844025395	3.00109916954915	13.0206736374495	11.0147970057849	34.1418990756402	6.00439882750478	2.00048844025395	7.00598826885697	14.0239804397716	26.0828704059517	0	6.00439882750478	15.0275330602518	18.0396670359275	5.00305424361532	7.00598826885697	5.00305424361532	18.0396670359275	3.00109916954915	13.0206736374495	6.00439882750478	10.0122269359159	20.048987655079	10.0122269359159	7.00598826885697	30.1104026871881	10.0122269359159	3.00109916954915	7.00598826885697	7.00598826885697	28.0961415204583	6.00439882750478	44.2380343327527	7.00598826885697	7.00598826885697	8.00782268745052	11.0147970057849	6.00439882750478	12.0176125328898	5.00305424361532	9.00990220315199	9.00990220315199	4.00195439749781	8.00782268745052	0	13.0206736374495	11.0147970057849	27.0893822675098	14.0239804397716	1.00012209018435	4.00195439749781	0	5.00305424361532	10.0122269359159	12.0176125328898	8.00782268745052	3.00109916954915	13.0206736374495	26.0828704059517	16.0313316193744	19.0442041347699	7.00598826885697	11.0147970057849	6.00439882750478	6.00439882750478	3.00109916954915	9.00990220315199	7.00598826885697	31.1179048445245	19.0442041347699	11.0147970057849	23.0648179545339	13.0206736374495	9.00990220315199	6.00439882750478	5.00305424361532	12.0176125328898	4.00195439749781	14.0239804397716	27.0893822675098	15.0275330602518
Abca1	5.00305424361532	1.00012209018435	0	0	3.00109916954915	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	4.00195439749781	0	1.00012209018435	0	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	4.00195439749781	0	0	0	1.00012209018435	4.00195439749781	0	1.00012209018435	0	0	3.00109916954915	4.00195439749781	0	0	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	3.00109916954915	1.00012209018435	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	0	4.00195439749781	0	1.00012209018435	0	2.00048844025395	0	0	4.00195439749781	1.00012209018435	4.00195439749781	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435	2.00048844025395	2.00048844025395	3.00109916954915	0	3.00109916954915	1.00012209018435	3.00109916954915	2.00048844025395	3.00109916954915	0
Abca8a	1.00012209018435	3.00109916954915	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	3.00109916954915	0	0	0	0	5.00305424361532	2.00048844025395	0	1.00012209018435	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	4.00195439749781	2.00048844025395	0	0	3.00109916954915	4.00195439749781	0	0	3.00109916954915	0	1.00012209018435	0	0	2.00048844025395	0	0	1.00012209018435	2.00048844025395	0	3.00109916954915	4.00195439749781	0	1.00012209018435	1.00012209018435	0	0	0	0	4.00195439749781	5.00305424361532
Abcc9	3.00109916954915	5.00305424361532	1.00012209018435	4.00195439749781	0	2.00048844025395	1.00012209018435	3.00109916954915	0	0	0	4.00195439749781	0	3.00109916954915	1.00012209018435	3.00109916954915	0	0	0	1.00012209018435	0	3.00109916954915	1.00012209018435	3.00109916954915	0	4.00195439749781	4.00195439749781	0	2.00048844025395	1.00012209018435	0	1.00012209018435	1.00012209018435	0	4.00195439749781	4.00195439749781	3.00109916954915	3.00109916954915	0	0	2.00048844025395	0	5.00305424361532	0	3.00109916954915	5.00305424361532	4.00195439749781	2.00048844025395	0	4.00195439749781	0	2.00048844025395	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	1.00012209018435	3.00109916954915	1.00012209018435	5.00305424361532	2.00048844025395	0	3.00109916954915	1.00012209018435	2.00048844025395	1.00012209018435	0	4.00195439749781	1.00012209018435	2.00048844025395	2.00048844025395	0	1.00012209018435	2.00048844025395	4.00195439749781	0	0	1.00012209018435	0	0	0	2.00048844025395	2.00048844025395
Acadm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0
