GENEID	X97	X99	X102	X104	X105	X106	X107	X110	X112	X115	X116	X119	X120	X122	X127	X128	X130	X131	X136	X137	X138	X143	X144	X145	X147	X148	X149	X150	X151	X152	X155	X157	X158	X159	X160	X161	X162	X164	X166	X168	X171	X173	X175	X176	X177	X178	X179	X181	X182	X183	X184	X185	X186	X187	X188	X189	X190	X191	X192
1700037H04Rik	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	6.00439882750478	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0
2010107E04Rik	2.00048844025395	0	0	1.00012209018435	0	0	4.00195439749781	2.00048844025395	3.00109916954915	0	3.00109916954915	0	0	1.00012209018435	0	0	0	0	10.0122269359159	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	0	3.00109916954915	1.00012209018435	0	0	0	1.00012209018435	0	2.00048844025395	0	3.00109916954915	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	0	5.00305424361532	3.00109916954915	0	0	3.00109916954915	3.00109916954915	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0
2410006H16Rik	5.00305424361532	4.00195439749781	1.00012209018435	1.00012209018435	3.00109916954915	0	0	1.00012209018435	3.00109916954915	0	5.00305424361532	1.00012209018435	1.00012209018435	0	2.00048844025395	6.00439882750478	0	0	3.00109916954915	5.00305424361532	0	2.00048844025395	1.00012209018435	4.00195439749781	5.00305424361532	1.00012209018435	3.00109916954915	2.00048844025395	2.00048844025395	2.00048844025395	0	2.00048844025395	1.00012209018435	4.00195439749781	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	3.00109916954915	3.00109916954915	2.00048844025395	2.00048844025395	1.00012209018435	2.00048844025395	5.00305424361532	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	2.00048844025395
4933427J07Rik	0	0	0	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0	3.00109916954915	2.00048844025395	2.00048844025395	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	5.00305424361532	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	2.00048844025395	4.00195439749781	2.00048844025395	0	1.00012209018435	0	2.00048844025395	0	0	3.00109916954915	5.00305424361532
7330423F06Rik	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	17.0353762377124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0
9930021J03Rik	2.00048844025395	0	0	3.00109916954915	0	0	0	0	3.00109916954915	0	0	0	5.00305424361532	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	0	0	2.00048844025395	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	0	0	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	2.00048844025395
9930111J21Rik1	4.00195439749781	1.00012209018435	0	5.00305424361532	1.00012209018435	5.00305424361532	2.00048844025395	2.00048844025395	6.00439882750478	3.00109916954915	4.00195439749781	13.0206736374495	10.0122269359159	0	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	0	7.00598826885697	5.00305424361532	0	1.00012209018435	2.00048844025395	0	0	5.00305424361532	6.00439882750478	1.00012209018435	0	0	7.00598826885697	1.00012209018435	7.00598826885697	1.00012209018435	0	11.0147970057849	9.00990220315199	4.00195439749781	0	5.00305424361532	7.00598826885697	4.00195439749781	1.00012209018435	11.0147970057849	7.00598826885697	3.00109916954915	8.00782268745052	23.0648179545339	2.00048844025395	8.00782268745052	1.00012209018435	5.00305424361532	0	6.00439882750478	8.00782268745052	6.00439882750478
A430073D23Rik	10.0122269359159	0	3.00109916954915	14.0239804397716	8.00782268745052	14.0239804397716	17.0353762377124	8.00782268745052	24.0705883708827	3.00109916954915	5.00305424361532	22.0592944438992	24.0705883708827	1.00012209018435	0	10.0122269359159	8.00782268745052	0	4.00195439749781	6.00439882750478	6.00439882750478	22.0592944438992	5.00305424361532	1.00012209018435	0	4.00195439749781	2.00048844025395	0	40.1965934523377	10.0122269359159	1.00012209018435	1.00012209018435	1.00012209018435	18.0396670359275	4.00195439749781	14.0239804397716	3.00109916954915	1.00012209018435	32.1256548803621	29.1031482864402	12.0176125328898	0	9.00990220315199	42.2168154415037	6.00439882750478	4.00195439749781	40.1965934523377	28.0961415204583	31.1179048445245	23.0648179545339	64.505270141498	5.00305424361532	27.0893822675098	6.00439882750478	12.0176125328898	0	21.0540177177831	27.0893822675098	16.0313316193744
A830008E24Rik	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	5.00305424361532	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0
AI506816	5.00305424361532	0	0	2.00048844025395	0	0	4.00195439749781	0	3.00109916954915	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	2.00048844025395	0	0	2.00048844025395	0	1.00012209018435	2.00048844025395	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0
AI607873	3.00109916954915	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	7.00598826885697	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435
AI838599	4.00195439749781	0	0	1.00012209018435	0	0	0	3.00109916954915	0	2.00048844025395	0	4.00195439749781	5.00305424361532	0	1.00012209018435	3.00109916954915	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	4.00195439749781	3.00109916954915	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	2.00048844025395	1.00012209018435	0	4.00195439749781	4.00195439749781	2.00048844025395	5.00305424361532	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395
