GENEID	X5	X16	X23	X24	X36	X37	X44	X46	X47	X48	X49	X56	X60	X62	X63	X64	X69	X72	X77	X78	X80	X88	X95
1110038B12Rik	0	0	2.00048844025395	0	0	0	0	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	5.00305424361532	1.00012209018435	5.00305424361532	0	2.00048844025395	0
1190002N15Rik	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	6.00439882750478	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	3.00109916954915
1700025G04Rik	0	0	1.00012209018435	0	0	0	1.00012209018435	3.00109916954915	2.00048844025395	5.00305424361532	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0
1810011O10Rik	0	0	0	0	0	0	0	5.00305424361532	0	0	1.00012209018435	1.00012209018435	0	0	4.00195439749781	0	0	0	1.00012209018435	0	0	0	0
1810013L24Rik	0	0	0	0	0	5.00305424361532	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	1.00012209018435
1810055G02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	1.00012209018435	0	0	0	0
2410006H16Rik	1.00012209018435	6.00439882750478	1.00012209018435	0	1.00012209018435	3.00109916954915	1.00012209018435	2.00048844025395	2.00048844025395	5.00305424361532	2.00048844025395	1.00012209018435	1.00012209018435	0	7.00598826885697	4.00195439749781	1.00012209018435	4.00195439749781	2.00048844025395	7.00598826885697	0	5.00305424361532	3.00109916954915
2700038G22Rik	0	0	1.00012209018435	0	0	2.00048844025395	0	2.00048844025395	2.00048844025395	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	7.00598826885697	1.00012209018435	0	0	0	0	2.00048844025395
2810474O19Rik	0	1.00012209018435	0	0	0	0	0	5.00305424361532	1.00012209018435	0	3.00109916954915	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	7.00598826885697	5.00305424361532	0	0	0
4632427E13Rik	0	0	0	0	0	0	4.00195439749781	0	7.00598826885697	2.00048844025395	1.00012209018435	0	1.00012209018435	2.00048844025395	3.00109916954915	0	3.00109916954915	0	0	0	0	1.00012209018435	1.00012209018435
9930021J03Rik	0	1.00012209018435	1.00012209018435	0	0	4.00195439749781	1.00012209018435	2.00048844025395	4.00195439749781	0	0	0	0	5.00305424361532	0	0	2.00048844025395	0	7.00598826885697	2.00048844025395	0	1.00012209018435	3.00109916954915
9930111J21Rik1	1.00012209018435	3.00109916954915	23.0648179545339	7.00598826885697	0	3.00109916954915	6.00439882750478	3.00109916954915	2.00048844025395	0	2.00048844025395	3.00109916954915	2.00048844025395	2.00048844025395	8.00782268745052	0	7.00598826885697	3.00109916954915	2.00048844025395	1.00012209018435	17.0353762377124	3.00109916954915	2.00048844025395
A430073D23Rik	0	12.0176125328898	57.4003247346927	23.0648179545339	0	13.0206736374495	18.0396670359275	6.00439882750478	9.00990220315199	14.0239804397716	12.0176125328898	2.00048844025395	5.00305424361532	24.0705883708827	36.1591362501238	2.00048844025395	28.0961415204583	11.0147970057849	7.00598826885697	17.0353762377124	34.1418990756402	11.0147970057849	4.00195439749781
AI314180	0	0	0	0	0	8.00782268745052	0	6.00439882750478	0	0	1.00012209018435	0	1.00012209018435	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	2.00048844025395
AI506816	0	0	0	0	0	2.00048844025395	5.00305424361532	3.00109916954915	0	0	0	0	0	2.00048844025395	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435
AI838599	0	1.00012209018435	4.00195439749781	3.00109916954915	0	0	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	3.00109916954915	0	1.00012209018435	0	0	2.00048844025395	4.00195439749781	6.00439882750478	1.00012209018435
Aars	0	0	0	0	0	3.00109916954915	1.00012209018435	4.00195439749781	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	5.00305424361532	0	0	0	0	0	1.00012209018435	0	5.00305424361532
Abca8a	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	6.00439882750478	0	0	0	0	1.00012209018435	1.00012209018435	3.00109916954915	2.00048844025395	2.00048844025395	1.00012209018435	3.00109916954915	4.00195439749781	0
Abcc9	0	0	5.00305424361532	0	1.00012209018435	4.00195439749781	2.00048844025395	3.00109916954915	6.00439882750478	6.00439882750478	2.00048844025395	0	1.00012209018435	17.0353762377124	11.0147970057849	0	2.00048844025395	1.00012209018435	4.00195439749781	4.00195439749781	1.00012209018435	1.00012209018435	6.00439882750478
Abhd17b	0	1.00012209018435	0	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	2.00048844025395	5.00305424361532	1.00012209018435	0	0	0	0	0	0	0	0
Abi3bp	2.00048844025395	3.00109916954915	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	5.00305424361532
Ablim1	0	5.00305424361532	0	0	0	4.00195439749781	0	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	0	0	0	3.00109916954915	0	0	0	1.00012209018435	0
Abtb2	3.00109916954915	0	0	0	0	0	0	0	3.00109916954915	0	5.00305424361532	0	0	0	3.00109916954915	0	0	0	0	0	0	2.00048844025395	1.00012209018435
Acadsb	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	0	0	5.00305424361532	0
Aco2	0	0	0	0	0	7.00598826885697	0	1.00012209018435	2.00048844025395	2.00048844025395	0	0	2.00048844025395	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	1.00012209018435
Acsl3	0	0	1.00012209018435	0	0	2.00048844025395	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0	0	0	0	0	0	0	2.00048844025395	0	0	0	6.00439882750478
Acsl4	0	2.00048844025395	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	6.00439882750478	0
Acta2	2.00048844025395	0	0	0	0	2.00048844025395	2.00048844025395	3.00109916954915	0	0	7.00598826885697	0	1.00012209018435	24.0705883708827	5.00305424361532	2.00048844025395	0	0	14.0239804397716	1.00012209018435	0	0	0
Actb	9.00990220315199	16.0313316193744	35.1503934793561	2.00048844025395	0	66.5375202452072	32.1256548803621	89.9811577167838	76.7139229953105	25.0766058142306	33.1336529167031	6.00439882750478	74.6766188001131	124.884627065835	75.6951442311975	24.0705883708827	28.0961415204583	36.1591362501238	74.6766188001131	18.0396670359275	9.00990220315199	13.0206736374495	95.0954048539238
Actg1	8.00782268745052	7.00598826885697	6.00439882750478	0	0	22.0592944438992	2.00048844025395	17.0353762377124	26.0828704059517	38.1773673823587	9.00990220315199	3.00109916954915	15.0275330602518	7.00598826885697	21.0540177177831	12.0176125328898	10.0122269359159	18.0396670359275	5.00305424361532	11.0147970057849	2.00048844025395	3.00109916954915	38.1773673823587
Actn1	0	1.00012209018435	0	0	0	2.00048844025395	0	3.00109916954915	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	7.00598826885697	2.00048844025395	2.00048844025395	4.00195439749781	5.00305424361532	0	0	0	2.00048844025395
Actn4	0	1.00012209018435	8.00782268745052	0	0	5.00305424361532	1.00012209018435	1.00012209018435	4.00195439749781	0	3.00109916954915	0	3.00109916954915	6.00439882750478	2.00048844025395	1.00012209018435	2.00048844025395	0	0	3.00109916954915	0	2.00048844025395	2.00048844025395
Actr1a	0	0	0	0	0	0	1.00012209018435	0	3.00109916954915	0	1.00012209018435	0	1.00012209018435	1.00012209018435	6.00439882750478	1.00012209018435	0	4.00195439749781	2.00048844025395	0	0	1.00012209018435	1.00012209018435
Actr3	0	1.00012209018435	0	0	0	5.00305424361532	4.00195439749781	0	2.00048844025395	0	0	0	5.00305424361532	1.00012209018435	3.00109916954915	1.00012209018435	0	6.00439882750478	0	0	0	1.00012209018435	5.00305424361532
Adam12	2.00048844025395	0	0	0	0	0	1.00012209018435	1.00012209018435	4.00195439749781	3.00109916954915	5.00305424361532	0	0	0	2.00048844025395	2.00048844025395	3.00109916954915	1.00012209018435	3.00109916954915	2.00048844025395	0	4.00195439749781	3.00109916954915
Adam9	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	6.00439882750478	0	0	0	3.00109916954915	1.00012209018435
Adamts1	4.00195439749781	2.00048844025395	0	0	1.00012209018435	6.00439882750478	1.00012209018435	7.00598826885697	6.00439882750478	2.00048844025395	4.00195439749781	0	2.00048844025395	9.00990220315199	0	3.00109916954915	4.00195439749781	2.00048844025395	11.0147970057849	5.00305424361532	1.00012209018435	1.00012209018435	4.00195439749781
Adamts20	0	0	0	0	0	0	0	1.00012209018435	4.00195439749781	3.00109916954915	1.00012209018435	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	0	2.00048844025395	5.00305424361532
Adamts4	0	0	1.00012209018435	0	0	14.0239804397716	0	0	0	4.00195439749781	2.00048844025395	0	1.00012209018435	8.00782268745052	4.00195439749781	0	0	1.00012209018435	0	0	0	0	0
Add1	2.00048844025395	0	0	0	0	3.00109916954915	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	3.00109916954915	0	0	0	2.00048844025395	2.00048844025395	1.00012209018435	0	0	2.00048844025395	7.00598826885697
Adgrf5	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0	0	0	0
Adra2a	0	0	0	0	0	14.0239804397716	1.00012209018435	1.00012209018435	0	0	2.00048844025395	0	0	10.0122269359159	0	7.00598826885697	0	0	6.00439882750478	0	0	0	0
Aebp1	0	1.00012209018435	0	0	0	2.00048844025395	2.00048844025395	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	0	3.00109916954915	2.00048844025395	1.00012209018435	7.00598826885697	2.00048844025395	0	0	3.00109916954915	3.00109916954915
Aes	0	0	0	0	0	1.00012209018435	0	3.00109916954915	4.00195439749781	5.00305424361532	0	0	0	0	2.00048844025395	1.00012209018435	2.00048844025395	2.00048844025395	2.00048844025395	1.00012209018435	0	0	5.00305424361532
Aff1	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	1.00012209018435	3.00109916954915	9.00990220315199
Afg3l1	0	0	0	0	1.00012209018435	0	1.00012209018435	0	5.00305424361532	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0
