GENEID	X98	X100	X104	X108	X109	X111	X113	X115	X117	X128	X137	X138	X139	X140	X148	X151	X153	X155	X156	X159	X171	X173	X179	X180	X181	X182	X183
1190002N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	2.00048844025395	0	5.00305424361532	0	0	0	0	0	0	0
9930111J21Rik1	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	1.00012209018435	0	6.00439882750478	1.00012209018435	1.00012209018435	2.00048844025395	3.00109916954915	1.00012209018435	0	2.00048844025395	2.00048844025395	2.00048844025395	3.00109916954915	0	1.00012209018435	1.00012209018435	0	0	9.00990220315199	5.00305424361532	3.00109916954915	4.00195439749781	2.00048844025395
A430073D23Rik	4.00195439749781	2.00048844025395	5.00305424361532	7.00598826885697	13.0206736374495	0	32.1256548803621	12.0176125328898	5.00305424361532	19.0442041347699	13.0206736374495	3.00109916954915	0	24.0705883708827	8.00782268745052	22.0592944438992	4.00195439749781	0	32.1256548803621	2.00048844025395	3.00109916954915	3.00109916954915	20.048987655079	30.1104026871881	7.00598826885697	5.00305424361532	1.00012209018435
Actb	11.0147970057849	4.00195439749781	14.0239804397716	14.0239804397716	3.00109916954915	1.00012209018435	9.00990220315199	4.00195439749781	3.00109916954915	5.00305424361532	1.00012209018435	66.5375202452072	5.00305424361532	13.0206736374495	3.00109916954915	5.00305424361532	17.0353762377124	15.0275330602518	5.00305424361532	46.2602511104364	23.0648179545339	10.0122269359159	18.0396670359275	4.00195439749781	9.00990220315199	11.0147970057849	0
Actg1	1.00012209018435	2.00048844025395	0	6.00439882750478	0	0	6.00439882750478	0	0	0	0	21.0540177177831	4.00195439749781	2.00048844025395	1.00012209018435	0	2.00048844025395	2.00048844025395	6.00439882750478	9.00990220315199	4.00195439749781	3.00109916954915	2.00048844025395	0	11.0147970057849	0	0
Adamts1	0	0	4.00195439749781	3.00109916954915	4.00195439749781	1.00012209018435	0	0	4.00195439749781	0	4.00195439749781	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	5.00305424361532	1.00012209018435	0	6.00439882750478	0	14.0239804397716	0	0	2.00048844025395	0
Adh1	3.00109916954915	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	2.00048844025395	0	5.00305424361532	4.00195439749781	1.00012209018435	0	0	0	1.00012209018435	5.00305424361532	1.00012209018435	0	0	0
Aebp1	1.00012209018435	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	1.00012209018435	0	5.00305424361532	1.00012209018435	4.00195439749781	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0
Akap2	0	1.00012209018435	1.00012209018435	2.00048844025395	2.00048844025395	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	6.00439882750478	0	0	0	0
Aldoa	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	3.00109916954915	1.00012209018435	0	1.00012209018435	0	0	0	2.00048844025395	0	0	5.00305424361532	0	1.00012209018435	0	4.00195439749781	0	1.00012209018435
Angpt2	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	5.00305424361532	0	1.00012209018435	0	0	0	0	0
Angptl4	0	7.00598826885697	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	1.00012209018435	0	2.00048844025395	4.00195439749781	0
Anxa5	0	1.00012209018435	4.00195439749781	0	0	0	0	0	1.00012209018435	0	0	5.00305424361532	1.00012209018435	0	1.00012209018435	2.00048844025395	0	0	0	2.00048844025395	1.00012209018435	3.00109916954915	1.00012209018435	0	4.00195439749781	0	0
Apc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0	0	0
Aplp2	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	5.00305424361532	3.00109916954915	0	1.00012209018435	0	0	1.00012209018435	0
Apoe	19.0442041347699	39.186855988824	54.3591168236642	7.00598826885697	17.0353762377124	4.00195439749781	2.00048844025395	0	2.00048844025395	7.00598826885697	8.00782268745052	1.00012209018435	18.0396670359275	83.8524782691409	6.00439882750478	7.00598826885697	22.0592944438992	85.8943526882953	26.0828704059517	2.00048844025395	0	14.0239804397716	26.0828704059517	12.0176125328898	0	74.6766188001131	8.00782268745052
Apold1	0	1.00012209018435	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	13.0206736374495	2.00048844025395	0	0	0	1.00012209018435	0	0
App	4.00195439749781	1.00012209018435	2.00048844025395	4.00195439749781	0	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	3.00109916954915	2.00048844025395	3.00109916954915	2.00048844025395	4.00195439749781	2.00048844025395	2.00048844025395	9.00990220315199	2.00048844025395	0	4.00195439749781	1.00012209018435	2.00048844025395	5.00305424361532	0
Arhgap29	0	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	5.00305424361532	0	0	0	0	0	0	0
Arhgef7	0	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	6.00439882750478	1.00012209018435	0	0	1.00012209018435	0	0	0
Arl6ip1	0	0	2.00048844025395	0	0	1.00012209018435	2.00048844025395	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	6.00439882750478	1.00012209018435	1.00012209018435	1.00012209018435	0	1.00012209018435	2.00048844025395	0
Atf3	0	2.00048844025395	4.00195439749781	2.00048844025395	0	0	0	0	2.00048844025395	3.00109916954915	5.00305424361532	0	0	0	3.00109916954915	0	3.00109916954915	1.00012209018435	0	0	3.00109916954915	0	3.00109916954915	1.00012209018435	0	6.00439882750478	0
B2m	2.00048844025395	0	5.00305424361532	8.00782268745052	5.00305424361532	0	10.0122269359159	0	2.00048844025395	3.00109916954915	1.00012209018435	21.0540177177831	3.00109916954915	8.00782268745052	5.00305424361532	6.00439882750478	2.00048844025395	5.00305424361532	8.00782268745052	34.1418990756402	2.00048844025395	3.00109916954915	0	5.00305424361532	8.00782268745052	3.00109916954915	2.00048844025395
Bach1	0	1.00012209018435	3.00109916954915	1.00012209018435	3.00109916954915	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	5.00305424361532	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0
Bgn	0	1.00012209018435	2.00048844025395	3.00109916954915	1.00012209018435	0	0	0	0	0	0	0	3.00109916954915	8.00782268745052	2.00048844025395	5.00305424361532	0	2.00048844025395	3.00109916954915	2.00048844025395	4.00195439749781	3.00109916954915	5.00305424361532	0	0	6.00439882750478	2.00048844025395
Birc3	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	6.00439882750478	0	0	6.00439882750478	4.00195439749781	3.00109916954915	0	4.00195439749781	1.00012209018435	0	0	1.00012209018435	0
Bmp2	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	8.00782268745052	0	0	0	1.00012209018435	0	0	0
Btg1	0	7.00598826885697	0	2.00048844025395	1.00012209018435	0	3.00109916954915	1.00012209018435	0	2.00048844025395	3.00109916954915	5.00305424361532	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	2.00048844025395	1.00012209018435	1.00012209018435	0	7.00598826885697	0	2.00048844025395	1.00012209018435	1.00012209018435
Btg2	0	4.00195439749781	13.0206736374495	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	11.0147970057849	6.00439882750478	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	6.00439882750478	1.00012209018435	5.00305424361532	5.00305424361532	1.00012209018435	11.0147970057849	0
C1s1	0	4.00195439749781	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	6.00439882750478	0	1.00012209018435	2.00048844025395	2.00048844025395	3.00109916954915	0	6.00439882750478	1.00012209018435	5.00305424361532	1.00012209018435	3.00109916954915	8.00782268745052	0
C3	15.0275330602518	17.0353762377124	7.00598826885697	15.0275330602518	8.00782268745052	5.00305424361532	0	0	0	3.00109916954915	2.00048844025395	0	6.00439882750478	4.00195439749781	9.00990220315199	5.00305424361532	8.00782268745052	23.0648179545339	22.0592944438992	5.00305424361532	0	6.00439882750478	13.0206736374495	10.0122269359159	0	37.1681275103067	1.00012209018435
Calm1	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	11.0147970057849	0	2.00048844025395	0	0	1.00012209018435	3.00109916954915	2.00048844025395	2.00048844025395	0	1.00012209018435	1.00012209018435	0	0	4.00195439749781	1.00012209018435
Canx	2.00048844025395	1.00012209018435	5.00305424361532	2.00048844025395	0	1.00012209018435	0	0	0	0	0	1.00012209018435	3.00109916954915	0	0	0	1.00012209018435	1.00012209018435	0	5.00305424361532	0	0	1.00012209018435	0	0	1.00012209018435	0
Ccl11	1.00012209018435	0	6.00439882750478	3.00109916954915	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	3.00109916954915	1.00012209018435
Ccl2	0	27.0893822675098	20.048987655079	8.00782268745052	15.0275330602518	1.00012209018435	0	0	1.00012209018435	7.00598826885697	14.0239804397716	1.00012209018435	0	0	7.00598826885697	0	0	18.0396670359275	0	0	0	1.00012209018435	0	32.1256548803621	11.0147970057849	9.00990220315199	9.00990220315199
Ccl5	0	0	0	0	0	0	17.0353762377124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccl7	0	10.0122269359159	0	0	5.00305424361532	0	0	0	1.00012209018435	0	0	0	0	0	7.00598826885697	1.00012209018435	0	5.00305424361532	0	0	0	5.00305424361532	1.00012209018435	8.00782268745052	0	3.00109916954915	4.00195439749781
Ccnd1	0	0	2.00048844025395	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	6.00439882750478	0	0	0	0	0	0	0
Ccnd2	0	1.00012209018435	4.00195439749781	0	0	2.00048844025395	2.00048844025395	0	0	2.00048844025395	0	0	0	2.00048844025395	0	0	2.00048844025395	0	0	0	0	1.00012209018435	5.00305424361532	0	1.00012209018435	0	1.00012209018435
Cd34	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0
Cd47	2.00048844025395	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	2.00048844025395	1.00012209018435	4.00195439749781	1.00012209018435	0	2.00048844025395	1.00012209018435	0	6.00439882750478	4.00195439749781	5.00305424361532	0	0	3.00109916954915	1.00012209018435	0
