GENEID	X97	X99	X100	X101	X102	X103	X107	X109	X111	X113	X114	X116	X118	X119	X120	X121	X124	X125	X126	X128	X131	X134	X136	X139	X140	X141	X144	X147	X150	X153	X155	X156	X158	X159	X160	X162	X165	X166	X167	X168	X173	X176	X180	X186	X188	X189
1810011O10Rik	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	2.00048844025395	0	0	0	0	2.00048844025395	2.00048844025395	0	2.00048844025395	0	0	1.00012209018435	0	0	0	0	16.0313316193744	0	0	0	1.00012209018435	0	0	0	0	0	0	3.00109916954915	1.00012209018435	2.00048844025395	0	0
4933427J07Rik	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	3.00109916954915	0	0	2.00048844025395	0	2.00048844025395	0	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	4.00195439749781	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	2.00048844025395	0	7.00598826885697	0	3.00109916954915	1.00012209018435	0	0	1.00012209018435
8430408G22Rik	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	1.00012209018435	6.00439882750478	0	0	0	0	11.0147970057849	3.00109916954915	0	1.00012209018435	0	0	2.00048844025395	0	0	10.0122269359159	0	5.00305424361532	0	1.00012209018435	0	0	0	0	0	0	0	0	18.0396670359275	0	0	0	0
9930111J21Rik1	1.00012209018435	1.00012209018435	3.00109916954915	1.00012209018435	0	7.00598826885697	0	5.00305424361532	2.00048844025395	3.00109916954915	3.00109916954915	4.00195439749781	0	6.00439882750478	5.00305424361532	2.00048844025395	0	5.00305424361532	0	1.00012209018435	4.00195439749781	0	1.00012209018435	1.00012209018435	0	2.00048844025395	4.00195439749781	0	4.00195439749781	1.00012209018435	10.0122269359159	0	2.00048844025395	0	7.00598826885697	3.00109916954915	1.00012209018435	4.00195439749781	1.00012209018435	21.0540177177831	2.00048844025395	6.00439882750478	8.00782268745052	9.00990220315199	8.00782268745052	10.0122269359159
A430073D23Rik	9.00990220315199	25.0766058142306	13.0206736374495	7.00598826885697	3.00109916954915	19.0442041347699	1.00012209018435	10.0122269359159	12.0176125328898	0	19.0442041347699	11.0147970057849	1.00012209018435	17.0353762377124	8.00782268745052	20.048987655079	1.00012209018435	15.0275330602518	1.00012209018435	8.00782268745052	10.0122269359159	2.00048844025395	2.00048844025395	2.00048844025395	1.00012209018435	15.0275330602518	12.0176125328898	14.0239804397716	8.00782268745052	2.00048844025395	47.2717340146999	1.00012209018435	12.0176125328898	1.00012209018435	13.0206736374495	5.00305424361532	9.00990220315199	29.1031482864402	1.00012209018435	63.4895230811159	7.00598826885697	24.0705883708827	28.0961415204583	9.00990220315199	29.1031482864402	21.0540177177831
AI314180	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	5.00305424361532	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0
AW112010	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	5.00305424361532	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435
Abca1	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	6.00439882750478	3.00109916954915	3.00109916954915	0	0	0	0	1.00012209018435	0	5.00305424361532	1.00012209018435	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	6.00439882750478	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	1.00012209018435	6.00439882750478	0	1.00012209018435	0
Abcc9	5.00305424361532	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	0	0	3.00109916954915	0	0	0	3.00109916954915	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0
Abcg2	0	1.00012209018435	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	0	0	0	0	9.00990220315199	0	9.00990220315199	0	0	0	0	0	0	0	0	0	0	4.00195439749781	1.00012209018435	0	0	1.00012209018435
