GENEID	X100	X102	X103	X108	X110	X111	X112	X117	X118	X119	X120	X121	X128	X134	X135	X142	X143	X144	X147	X149	X152	X156	X157	X158	X159	X165	X167	X174	X175	X176	X180	X183	X184	X187	X191	X192
1700037C18Rik	0	2.00048844025395	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	0	0	2.00048844025395	1.00012209018435	0	0	3.00109916954915	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	4.00195439749781	1.00012209018435	2.00048844025395	0	0	5.00305424361532	0
1810011O10Rik	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435	0	0	0	0	0	16.0313316193744	0	0	0	0	0
2900026A02Rik	2.00048844025395	0	0	6.00439882750478	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	4.00195439749781	1.00012209018435	0	0	0	0
4933427J07Rik	0	0	1.00012209018435	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	3.00109916954915	0	0	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	2.00048844025395	1.00012209018435	3.00109916954915	0	0	1.00012209018435	6.00439882750478	0
5330406M23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0
5830462I19Rik	0	0	0	0	0	0	0	6.00439882750478	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	0	0	0
8430408G22Rik	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.048987655079	0	0	0	0	0	0	0	0	6.00439882750478	0	0	0	0	0
9930111J21Rik1	0	2.00048844025395	12.0176125328898	2.00048844025395	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	4.00195439749781	7.00598826885697	5.00305424361532	1.00012209018435	9.00990220315199	14.0239804397716	1.00012209018435	0	14.0239804397716	14.0239804397716	2.00048844025395	7.00598826885697	8.00782268745052	4.00195439749781	3.00109916954915	8.00782268745052	5.00305424361532	7.00598826885697	2.00048844025395	6.00439882750478	10.0122269359159	25.0766058142306	0	13.0206736374495	3.00109916954915	34.1418990756402	4.00195439749781
A430073D23Rik	0	4.00195439749781	37.1681275103067	6.00439882750478	14.0239804397716	11.0147970057849	9.00990220315199	7.00598826885697	12.0176125328898	18.0396670359275	20.048987655079	13.0206736374495	9.00990220315199	15.0275330602518	73.6583465760993	8.00782268745052	9.00990220315199	17.0353762377124	42.2168154415037	12.0176125328898	28.0961415204583	6.00439882750478	24.0705883708827	9.00990220315199	11.0147970057849	24.0705883708827	15.0275330602518	19.0442041347699	20.048987655079	38.1773673823587	120.762865711731	4.00195439749781	56.38633784995	20.048987655079	101.240942390885	9.00990220315199
AI506816	0	0	0	1.00012209018435	0	0	0	0	0	1.00012209018435	3.00109916954915	0	0	0	0	1.00012209018435	0	0	0	0	0	6.00439882750478	2.00048844025395	0	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	0
