GENEID	X97	X98	X99	X100	X101	X102	X103	X105	X106	X110	X111	X112	X113	X114	X115	X117	X120	X121	X124	X125	X128	X129	X130	X133	X134	X136	X137	X140	X142	X143	X145	X146	X148	X152	X154	X155	X157	X159	X162	X163	X165	X166	X167	X170	X172	X173	X176	X177	X178	X180	X182	X183	X186	X187	X188	X191
1810011O10Rik	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	5.00305424361532	0	1.00012209018435	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	2.00048844025395	1.00012209018435	0	0	0	4.00195439749781	2.00048844025395	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0	0	0	3.00109916954915	1.00012209018435	0	0	0	0
2410006H16Rik	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	0	0	5.00305424361532	0	0	0	0
2900026A02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	0	1.00012209018435	7.00598826885697	0	0	0	2.00048844025395
4933427J07Rik	1.00012209018435	0	0	0	0	3.00109916954915	4.00195439749781	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	2.00048844025395	0	0	2.00048844025395	1.00012209018435	2.00048844025395	1.00012209018435	0	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	0	0	5.00305424361532	1.00012209018435	0	0	2.00048844025395	0	2.00048844025395	1.00012209018435	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0	0	0	1.00012209018435	1.00012209018435	0	0	0	3.00109916954915
8430408G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	3.00109916954915	0	0	0	0	0	0	5.00305424361532	3.00109916954915	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	15.0275330602518	0	0	0	3.00109916954915
9930111J21Rik1	3.00109916954915	4.00195439749781	0	9.00990220315199	1.00012209018435	3.00109916954915	11.0147970057849	0	3.00109916954915	1.00012209018435	0	19.0442041347699	3.00109916954915	2.00048844025395	5.00305424361532	5.00305424361532	9.00990220315199	1.00012209018435	4.00195439749781	2.00048844025395	0	2.00048844025395	10.0122269359159	1.00012209018435	3.00109916954915	8.00782268745052	5.00305424361532	10.0122269359159	0	2.00048844025395	4.00195439749781	5.00305424361532	1.00012209018435	7.00598826885697	11.0147970057849	2.00048844025395	4.00195439749781	1.00012209018435	2.00048844025395	1.00012209018435	1.00012209018435	2.00048844025395	0	5.00305424361532	1.00012209018435	0	5.00305424361532	1.00012209018435	1.00012209018435	9.00990220315199	6.00439882750478	7.00598826885697	0	2.00048844025395	5.00305424361532	8.00782268745052
A430073D23Rik	7.00598826885697	16.0313316193744	1.00012209018435	43.22730021288	1.00012209018435	4.00195439749781	85.8943526882953	1.00012209018435	24.0705883708827	1.00012209018435	1.00012209018435	50.3076822698104	11.0147970057849	7.00598826885697	9.00990220315199	26.0828704059517	23.0648179545339	10.0122269359159	24.0705883708827	16.0313316193744	7.00598826885697	5.00305424361532	48.283466760365	4.00195439749781	10.0122269359159	9.00990220315199	4.00195439749781	29.1031482864402	0	1.00012209018435	16.0313316193744	20.048987655079	19.0442041347699	25.0766058142306	60.4437923669776	10.0122269359159	19.0442041347699	6.00439882750478	9.00990220315199	2.00048844025395	3.00109916954915	8.00782268745052	6.00439882750478	7.00598826885697	3.00109916954915	6.00439882750478	25.0766058142306	0	0	44.2380343327527	18.0396670359275	23.0648179545339	5.00305424361532	6.00439882750478	15.0275330602518	21.0540177177831
A530040E14Rik	0	0	0	2.00048844025395	0	0	5.00305424361532	0	0	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AW112010	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	6.00439882750478	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	3.00109916954915	1.00012209018435	0	0	0	0	3.00109916954915	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0
Abca1	0	0	0	0	1.00012209018435	2.00048844025395	0	0	5.00305424361532	0	0	0	0	1.00012209018435	0	0	2.00048844025395	5.00305424361532	1.00012209018435	0	0	2.00048844025395	2.00048844025395	0	4.00195439749781	1.00012209018435	4.00195439749781	2.00048844025395	3.00109916954915	1.00012209018435	0	0	1.00012209018435	0	3.00109916954915	0	3.00109916954915	1.00012209018435	0	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	0	0	0	1.00012209018435	0	0	0	2.00048844025395	0	0	2.00048844025395	1.00012209018435	0
