GENEID	X100	X104	X111	X112	X119	X120	X128	X130	X136	X138	X140	X142	X143	X144	X149	X152	X154	X158	X159	X160	X167	X176	X182	X183	X184	X185	X189	X191	X192
1600012H06Rik	2.00048844025395	0	1.00012209018435	0	1.00012209018435	0	0	0	1.00012209018435	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	6.00439882750478	0
1810011O10Rik	0	0	0	0	0	0	5.00305424361532	0	0	0	1.00012209018435	0	0	0	2.00048844025395	1.00012209018435	0	0	0	0	3.00109916954915	0	0	0	0	0	0	0	1.00012209018435
1810022K09Rik	0	0	1.00012209018435	0	0	3.00109916954915	1.00012209018435	0	0	0	1.00012209018435	0	2.00048844025395	0	1.00012209018435	2.00048844025395	0	1.00012209018435	0	3.00109916954915	0	1.00012209018435	1.00012209018435	1.00012209018435	2.00048844025395	0	0	5.00305424361532	2.00048844025395
2410002F23Rik	1.00012209018435	2.00048844025395	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	2.00048844025395	0	0	0	1.00012209018435	6.00439882750478	0	0	0	0	0	0	0	2.00048844025395	1.00012209018435
2410006H16Rik	1.00012209018435	0	0	0	0	9.00990220315199	1.00012209018435	0	0	0	0	0	2.00048844025395	0	1.00012209018435	5.00305424361532	1.00012209018435	1.00012209018435	0	0	1.00012209018435	5.00305424361532	2.00048844025395	0	3.00109916954915	0	0	1.00012209018435	2.00048844025395
2510009E07Rik	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	0	1.00012209018435	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435
2610203C20Rik	0	0	0	0	0	0	0	0	8.00782268745052	0	2.00048844025395	1.00012209018435	2.00048844025395	0	1.00012209018435	2.00048844025395	0	0	0	2.00048844025395	0	4.00195439749781	0	0	0	1.00012209018435	0	0	0
2700060E02Rik	1.00012209018435	0	1.00012209018435	0	0	2.00048844025395	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	1.00012209018435	5.00305424361532	1.00012209018435	1.00012209018435	1.00012209018435	1.00012209018435	0	0	1.00012209018435	2.00048844025395	1.00012209018435
2810403D21Rik	0	0	0	0	0	0	1.00012209018435	0	0	0	5.00305424361532	0	0	0	0	5.00305424361532	4.00195439749781	0	0	3.00109916954915	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0
2810474O19Rik	1.00012209018435	0	3.00109916954915	0	0	0	0	0	2.00048844025395	0	0	0	0	0	4.00195439749781	0	0	0	0	0	1.00012209018435	0	0	0	0	1.00012209018435	0	1.00012209018435	5.00305424361532
4933411E06Rik	0	0	0	0	0	1.00012209018435	1.00012209018435	2.00048844025395	4.00195439749781	0	1.00012209018435	0	0	5.00305424361532	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	2.00048844025395	1.00012209018435	0	1.00012209018435
4933427J07Rik	0	0	0	0	0	0	2.00048844025395	0	3.00109916954915	0	0	0	0	6.00439882750478	0	2.00048844025395	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	8.00782268745052	0	2.00048844025395	2.00048844025395
5830462I19Rik	0	0	0	0	0	0	1.00012209018435	2.00048844025395	2.00048844025395	0	2.00048844025395	0	0	5.00305424361532	0	0	1.00012209018435	0	0	2.00048844025395	0	1.00012209018435	0	0	0	4.00195439749781	0	1.00012209018435	0
9430062P05Rik	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0
9930111J21Rik1	3.00109916954915	0	1.00012209018435	2.00048844025395	0	1.00012209018435	2.00048844025395	1.00012209018435	19.0442041347699	2.00048844025395	17.0353762377124	1.00012209018435	1.00012209018435	49.2954494708865	2.00048844025395	6.00439882750478	14.0239804397716	3.00109916954915	0	4.00195439749781	0	3.00109916954915	0	0	8.00782268745052	34.1418990756402	4.00195439749781	6.00439882750478	6.00439882750478
