GENEID	X98	X99	X100	X101	X102	X103	X105	X107	X109	X112	X113	X120	X121	X122	X123	X124	X126	X128	X129	X130	X131	X134	X136	X140	X143	X144	X146	X147	X148	X150	X151	X152	X154	X157	X158	X159	X161	X162	X163	X164	X168	X171	X172	X173	X174	X176	X177	X178	X179	X182	X183	X185	X187	X188	X189	X190	X191	X192
1700086O06Rik	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810011O10Rik	0	0	0	0	0	1.00012209018435	0	0	6.00439882750478	0	0	9.00990220315199	0	0	0	0	0	0	0	0	7.00598826885697	0	0	1.00012209018435	0	0	1.00012209018435	0	2.00048844025395	0	0	0	2.00048844025395	4.00195439749781	0	2.00048844025395	0	2.00048844025395	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0
4632432E15Rik	0	1.00012209018435	1.00012209018435	1.00012209018435	0	0	0	0	0	5.00305424361532	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	0	0	0	0	1.00012209018435	0	0	0	0	0
4833439L19Rik	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	1.00012209018435	0	1.00012209018435	0	1.00012209018435	1.00012209018435	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00439882750478	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5330406M23Rik	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	8.00782268745052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	0	2.00048844025395	0	0	0	0	0	0	0	0	0	0	0
8430408G22Rik	0	0	0	0	1.00012209018435	2.00048844025395	0	0	2.00048844025395	0	0	4.00195439749781	0	0	0	0	0	0	0	0	0	0	0	5.00305424361532	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	4.00195439749781	0	10.0122269359159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00048844025395
9930111J21Rik1	1.00012209018435	2.00048844025395	5.00305424361532	6.00439882750478	3.00109916954915	0	0	0	1.00012209018435	10.0122269359159	5.00305424361532	7.00598826885697	0	2.00048844025395	6.00439882750478	2.00048844025395	7.00598826885697	0	4.00195439749781	3.00109916954915	6.00439882750478	8.00782268745052	1.00012209018435	1.00012209018435	1.00012209018435	0	0	3.00109916954915	3.00109916954915	3.00109916954915	0	0	0	1.00012209018435	0	0	2.00048844025395	2.00048844025395	4.00195439749781	1.00012209018435	4.00195439749781	5.00305424361532	0	3.00109916954915	3.00109916954915	0	4.00195439749781	1.00012209018435	1.00012209018435	1.00012209018435	0	0	7.00598826885697	0	5.00305424361532	3.00109916954915	4.00195439749781	5.00305424361532
A430073D23Rik	15.0275330602518	17.0353762377124	15.0275330602518	24.0705883708827	2.00048844025395	0	0	1.00012209018435	5.00305424361532	43.22730021288	8.00782268745052	9.00990220315199	7.00598826885697	23.0648179545339	13.0206736374495	0	30.1104026871881	3.00109916954915	11.0147970057849	46.2602511104364	6.00439882750478	39.186855988824	2.00048844025395	24.0705883708827	0	1.00012209018435	1.00012209018435	10.0122269359159	10.0122269359159	6.00439882750478	6.00439882750478	1.00012209018435	0	0	2.00048844025395	3.00109916954915	3.00109916954915	4.00195439749781	37.1681275103067	17.0353762377124	11.0147970057849	7.00598826885697	7.00598826885697	15.0275330602518	2.00048844025395	1.00012209018435	5.00305424361532	1.00012209018435	4.00195439749781	6.00439882750478	4.00195439749781	3.00109916954915	18.0396670359275	1.00012209018435	9.00990220315199	3.00109916954915	5.00305424361532	24.0705883708827
AI506816	0	1.00012209018435	0	0	0	0	0	2.00048844025395	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00012209018435	0	0	0	1.00012209018435	0	0	0	0	0	0	0	0	0	0	1.00012209018435	5.00305424361532	0	0	0	0	0	0	1.00012209018435	0	0	0	3.00109916954915	0	0	0	0	0	0
AW112010	0	0	0	0	4.00195439749781	0	0	1.00012209018435	0	0	0	1.00012209018435	1.00012209018435	0	0	1.00012209018435	1.00012209018435	0	0	0	0	0	0	0	7.00598826885697	1.00012209018435	0	1.00012209018435	0	0	0	0	1.00012209018435	0	0	0	0	0	0	0	1.00012209018435	0	0	1.00012209018435	0	0	1.00012209018435	2.00048844025395	0	0	3.00109916954915	0	0	0	0	0	0	1.00012209018435
